Sample	Observed_nh_nm	Shannon_nh_nm	Simpson_nh_nm	Observed_nh_m	Shannon_nh_m	Simpson_nh_m	Observed_h_nm	Shannon_h_nm	Simpson_h_nm	Observed_h_m	Shannon_h_m	Simpson_h_m
CRC10	1311	4.287436942	0.93260595	336	4.283742274	0.955634978	95	3.655618797	0.94106051	92	3.627748778	0.940050489
CRC11	969	3.340766683	0.905745252	246	4.25848894	0.96504355	102	3.718462028	0.953842876	98	3.670444459	0.951336417
CRC12	1031	3.978714566	0.94978889	332	3.683183145	0.928591869	193	3.309210941	0.913469346	189	3.299791175	0.913106012
CRC13	1646	4.174548465	0.915858416	387	4.130549006	0.932624827	93	3.971196429	0.969188457	90	3.933289268	0.968181818
CRC14	985	3.870156177	0.944946942	375	3.787403461	0.941799327	240	3.477015546	0.92751967	235	3.468700456	0.927263693
CRC15	1578	3.860852835	0.926875435	311	4.00038858	0.942975928	74	3.497172303	0.945293221	67	3.420072804	0.942653559
CRC16	1402	3.942736166	0.942079827	459	4.725177895	0.966055135	215	4.659046715	0.980118297	212	4.649024701	0.97991363
CRC17	1374	4.029739019	0.924807845	329	4.17194247	0.952063218	88	3.283611498	0.915294785	83	3.234704599	0.912891783
CRC18	825	3.512161141	0.924714803	190	3.877440292	0.943452213	72	3.858341031	0.968881633	70	3.826322555	0.967955652
CRC19	1299	4.522609805	0.943526881	354	4.179169443	0.964959218	101	4.130203883	0.972173913	324	4.220956996	0.967833486
CRC1	542	2.810753294	0.870516181	316	4.389786574	0.960169669	330	4.238499451	0.968221751	100	4.120135331	0.971949429
CRC20	1182	3.669401779	0.903665102	329	4.192613618	0.948034443	110	4.007211094	0.967213115	106	3.980710294	0.966792547
CRC22	1210	4.060269543	0.936253392	369	4.300970652	0.958069504	139	3.63802477	0.920660206	137	3.620838687	0.919956452
CRC23	670	3.457745633	0.910347998	159	3.941683213	0.950228039	51	3.241339029	0.917699725	48	3.178818625	0.913208008
CRC24	852	3.695056953	0.942866271	257	2.851152325	0.854142221	135	2.505088744	0.831693023	133	2.500370094	0.83150391
CRC25	1130	4.093452607	0.938022948	329	4.26666067	0.962590168	169	3.660808227	0.935338	165	3.643815179	0.934746092
CRC26	1279	4.052627867	0.927113825	283	4.030864031	0.93082644	26	2.963544079	0.924449732	23	2.828345436	0.914127424
CRC27	1539	4.251928472	0.929321857	424	4.428943028	0.943440285	77	4.13491762	0.978463466	74	4.091851889	0.977520661
CRC28	1101	4.319651	0.925172095	268	4.480615485	0.960529407	76	3.579563769	0.933177502	75	3.565226353	0.932478733
CRC29	984	4.109405592	0.940339632	697	2.201403289	0.678224411	177	3.984415918	0.96323435	412	1.951074248	0.64586775
CRC2	1116	2.811251061	0.779150656	341	4.389923976	0.971550347	413	1.952854587	0.646020929	173	3.969698523	0.962932657
CRC30	1106	4.401790574	0.96052034	309	3.521267687	0.930241606	125	2.963496847	0.907459155	123	2.96057176	0.907374777
CRC31	891	4.003475968	0.9303458	253	4.178229914	0.948992885	80	4.017182686	0.973303485	77	3.979640548	0.972456747
CRC32	1132	4.457485684	0.942416117	306	4.44613427	0.971561384	115	3.709596852	0.950646294	114	3.709649568	0.950854554
CRC33	1564	4.743832294	0.958464875	532	4.429504203	0.971006837	254	3.474068743	0.908803212	252	3.470368935	0.908665016
CRC3	1186	4.281459681	0.933260857	243	3.993000023	0.946202333	64	2.936271023	0.884914935	62	2.895914365	0.881733319
CRC4	1259	3.147524675	0.884497966	301	4.112848305	0.95026459	96	3.675523623	0.956815675	89	3.605993207	0.954818067
CRC5	1335	4.087445036	0.924301785	371	4.242351646	0.962839333	139	3.675143169	0.946526538	135	3.651705351	0.945785827
CRC6	1077	3.891960317	0.920212472	260	4.073623279	0.948521878	69	3.4664067	0.947702479	67	3.436817085	0.946610078
CRC7	1128	3.922174746	0.925797688	248	3.862034459	0.931147133	39	3.206147791	0.933364839	35	3.101894175	0.92768595
CRC8	1222	4.410932054	0.954541269	395	4.430616141	0.970155551	221	3.991363792	0.956924517	220	3.987133897	0.956830131
CRC9	808	3.084126793	0.835137644	438	2.708988438	0.795541606	314	2.461957669	0.776556603	311	2.460940089	0.77650427
