"","Observed","Shannon","Simpson"
"CRC10_RNA_unmap_H_map",81,3.51620472562046,0.935752685718458
"CRC11_RNA_unmap_H_map",85,3.57270041000443,0.948625967374014
"CRC12_RNA_unmap_H_map",159,3.2294157498665,0.910832383841742
"CRC13_RNA_unmap_H_map",83,3.85296154995722,0.966210407987833
"CRC14_RNA_unmap_H_map",196,3.42373711953405,0.926188754938781
"CRC15_RNA_unmap_H_map",64,3.38870806819738,0.941605768577557
"CRC16_RNA_unmap_H_map",136,4.27973481752589,0.974370662575791
"CRC17_RNA_unmap_H_map",79,3.19182147684288,0.91079082501898
"CRC18_RNA_unmap_H_map",64,3.7430626642031,0.965815067498911
"CRC19_RNA_unmap_H_map",259,4.15979210912282,0.967105890997802
"CRC1_RNA_unmap_H_map",70,3.76458167514051,0.962723865056227
"CRC20_RNA_unmap_H_map",98,3.91468594375984,0.965322448979592
"CRC22_RNA_unmap_H_map",118,3.52160100442566,0.915988416399939
"CRC23_RNA_unmap_H_map",47,3.1578005524522,0.911897823795648
"CRC24_RNA_unmap_H_map",123,2.48650553229481,0.830839227427878
"CRC25_RNA_unmap_H_map",144,3.5491953603755,0.931787237952994
"CRC26_RNA_unmap_H_map",20,2.67674384766503,0.901224489795918
"CRC27_RNA_unmap_H_map",63,3.91886598667759,0.973370064279155
"CRC28_RNA_unmap_H_map",66,3.43023437157535,0.925648979591837
"CRC29_RNA_unmap_H_map",297,1.91595764261757,0.643205118154413
"CRC2_RNA_unmap_H_map",139,3.83998418956647,0.960513950885145
"CRC30_RNA_unmap_H_map",101,2.91540602471818,0.905976356005511
"CRC31_RNA_unmap_H_map",72,3.91475249718238,0.970945821854913
"CRC32_RNA_unmap_H_map",105,3.65946766434846,0.949563424776084
"CRC33_RNA_unmap_H_map",207,3.39896842149534,0.906358661896342
"CRC3_RNA_unmap_H_map",58,2.85007778657218,0.879008611636211
"CRC4_RNA_unmap_H_map",83,3.55952714310068,0.953628965410531
"CRC5_RNA_unmap_H_map",125,3.60798615760086,0.944669437882383
"CRC6_RNA_unmap_H_map",64,3.40153697476232,0.945454042923674
"CRC7_RNA_unmap_H_map",31,2.98987689072933,0.921201814058957
"CRC8_RNA_unmap_H_map",173,3.86493871502054,0.95445264242985
"CRC9_RNA_unmap_H_map",237,2.43433415987788,0.775119531066805
