"","Observed","Shannon","Simpson"
"processed_CRC10_S10_L001_H_no_map",82,3.52610660123746,0.936130062418348
"processed_CRC11_S11_L001_H_no_map",88,3.61726047081058,0.951171875
"processed_CRC12_S12_L001_H_no_map",162,3.23702737941361,0.911146117916918
"processed_CRC13_S13_L001_H_no_map",85,3.88147879881222,0.967035322359396
"processed_CRC15_S15_L001_H_no_map",201,3.43220329568844,0.926451086091776
"processed_CRC16_S16_L001_H_no_map",69,3.44670755623518,0.943654200450766
"processed_CRC17_S17_L001_H_no_map",137,4.28433892389547,0.974553734477721
"processed_CRC18_S18_L001_H_no_map",82,3.2234382579217,0.912451852329556
"processed_CRC19_S19_L001_H_no_map",66,3.77707111154679,0.966842897657645
"processed_CRC1_S1_L001_H_no_map",71,3.77735365319666,0.963075575253163
"processed_CRC20_S20_L001_H_no_map",265,4.17787992188488,0.967507993917791
"processed_CRC21_S21_L001_H_no_map",100,3.9262662937462,0.965424188865042
"processed_CRC23_S23_L001_H_no_map",119,3.53474558005998,0.916558535178777
"processed_CRC24_S24_L001_H_no_map",50,3.2212041786477,0.916496707651069
"processed_CRC25_S25_L001_H_no_map",125,2.49125220578654,0.831030132060264
"processed_CRC26_S26_L001_H_no_map",147,3.56252067740163,0.932283880322128
"processed_CRC27_S27_L001_H_no_map",23,2.82834543646709,0.914127423822715
"processed_CRC28_S28_L001_H_no_map",66,3.96860876934071,0.974625144175317
"processed_CRC29_S29_L001_H_no_map",68,3.46119758335954,0.927255897092151
"processed_CRC2_S2_L001_H_no_map",141,3.84797680832007,0.960703153384909
"processed_CRC30_S30_L001_H_no_map",299,1.91804809367462,0.643382417606524
"processed_CRC31_S31_L001_H_no_map",103,2.91842393414001,0.906064641809791
"processed_CRC32_S32_L001_H_no_map",73,3.92797067294387,0.971258528088257
"processed_CRC33_S33_L001_H_no_map",106,3.65960972032416,0.94935638153452
"processed_CRC34_S34_L001_H_no_map",207,3.39986313734054,0.906410614186221
"processed_CRC3_S3_L001_H_no_map",60,2.89138696890375,0.882302040816327
"processed_CRC4_S4_L001_H_no_map",89,3.62824736576966,0.955702681456896
"processed_CRC5_S5_L001_H_no_map",127,3.62020833227259,0.945101029760055
"processed_CRC6_S6_L001_H_no_map",65,3.42001472765848,0.946201712939639
"processed_CRC7_S7_L001_H_no_map",34,3.07465579357902,0.926146122341128
"processed_CRC8_S8_L001_H_no_map",174,3.86939256570303,0.954554981148663
"processed_CRC9_S9_L001_H_no_map",240,2.43535764925478,0.775172351477643
