"","Observed","Shannon","Simpson"
"CRC10_RNA_unmap_NH_map",258,4.02587603105029,0.949460658742974
"CRC11_RNA_unmap_NH_map",217,4.1535268425043,0.963040806999395
"CRC12_RNA_unmap_NH_map",281,3.59909470782558,0.926361286325829
"CRC13_RNA_unmap_NH_map",293,3.82584978964664,0.922118774619783
"CRC14_RNA_unmap_NH_map",320,3.73226624770931,0.940705982476247
"CRC15_RNA_unmap_NH_map",238,3.76173281078597,0.9363055765981
"CRC16_RNA_unmap_NH_map",330,4.4096965140235,0.959902072311614
"CRC17_RNA_unmap_NH_map",264,3.95244823545927,0.946558762301755
"CRC18_RNA_unmap_NH_map",156,3.69770300754046,0.937868734791058
"CRC19_RNA_unmap_NH_map",306,4.13640797570972,0.964417388058764
"CRC1_RNA_unmap_NH_map",245,4.11108162010301,0.953480363570552
"CRC20_RNA_unmap_NH_map",265,3.9889471486973,0.942591319361876
"CRC22_RNA_unmap_NH_map",289,4.09831152365632,0.953869633136095
"CRC23_RNA_unmap_NH_map",134,3.76872028992273,0.944871130593473
"CRC24_RNA_unmap_NH_map",227,2.81421156554732,0.852545369574178
"CRC25_RNA_unmap_NH_map",266,4.09652380124001,0.959426823519479
"CRC26_RNA_unmap_NH_map",200,3.61327112463564,0.913996772458311
"CRC27_RNA_unmap_NH_map",321,4.08024011358756,0.931970357201519
"CRC28_RNA_unmap_NH_map",217,4.22787203623937,0.953556459566075
"CRC29_RNA_unmap_NH_map",550,2.15929714118111,0.675256334689659
"CRC2_RNA_unmap_NH_map",280,4.24699947747931,0.969545067745568
"CRC30_RNA_unmap_NH_map",249,3.42330536561846,0.927788036715146
"CRC31_RNA_unmap_NH_map",213,3.99308981744992,0.943470689000554
"CRC32_RNA_unmap_NH_map",254,4.2911230873395,0.969155177499071
"CRC33_RNA_unmap_NH_map",433,4.32112179232168,0.969742366145542
"CRC3_RNA_unmap_NH_map",180,3.70922189922885,0.93789907781341
"CRC4_RNA_unmap_NH_map",231,3.90178564631117,0.945087935081824
"CRC5_RNA_unmap_NH_map",286,4.04295320003743,0.95932337256808
"CRC6_RNA_unmap_NH_map",216,3.89512430740784,0.943607884854348
"CRC7_RNA_unmap_NH_map",203,3.64694534245747,0.92330610382842
"CRC8_RNA_unmap_NH_map",306,4.26490212913485,0.967845487019406
"CRC9_RNA_unmap_NH_map",372,2.68702593038823,0.794474481364483
