"","Observed","Shannon","Simpson"
"processed_CRC10_S10_L001_NH_no_map",1273,4.26037409912204,0.931964126246321
"processed_CRC11_S11_L001_NH_no_map",942,3.32493814218187,0.905322086250388
"processed_CRC12_S12_L001_NH_no_map",998,3.96093221590666,0.949509973299472
"processed_CRC13_S13_L001_NH_no_map",1584,4.13845490387291,0.914854160547539
"processed_CRC15_S15_L001_NH_no_map",965,3.86206566908632,0.944817275864525
"processed_CRC16_S16_L001_NH_no_map",1523,3.83652522277655,0.926349818939192
"processed_CRC17_S17_L001_NH_no_map",1341,3.91320575434695,0.941557714285714
"processed_CRC18_S18_L001_NH_no_map",1328,4.00210294571575,0.924137280303429
"processed_CRC19_S19_L001_NH_no_map",804,3.49656170727818,0.924357563238078
"processed_CRC1_S1_L001_NH_no_map",1262,4.49414334989902,0.942920529212888
"processed_CRC20_S20_L001_NH_no_map",518,2.80409394563401,0.870313047068443
"processed_CRC21_S21_L001_NH_no_map",1144,3.64576243010154,0.902974347340763
"processed_CRC23_S23_L001_NH_no_map",1170,4.0348626818975,0.935721146678586
"processed_CRC24_S24_L001_NH_no_map",655,3.44229158729664,0.909904840163376
"processed_CRC25_S25_L001_NH_no_map",829,3.68303973001225,0.942663579558724
"processed_CRC26_S26_L001_NH_no_map",1098,4.07141485991379,0.937565503615192
"processed_CRC27_S27_L001_NH_no_map",1233,4.02153596714216,0.926362064808072
"processed_CRC28_S28_L001_NH_no_map",1495,4.22663248992255,0.928722754291087
"processed_CRC29_S29_L001_NH_no_map",1067,4.28663943174693,0.924235661637481
"processed_CRC2_S2_L001_NH_no_map",960,4.09193438993278,0.93998558104292
"processed_CRC30_S30_L001_NH_no_map",1061,2.79940874721573,0.778555952035239
"processed_CRC31_S31_L001_NH_no_map",1078,4.38347361191824,0.960264380698031
"processed_CRC32_S32_L001_NH_no_map",871,3.98362067336854,0.929855465284208
"processed_CRC33_S33_L001_NH_no_map",1094,4.42405100770438,0.941676507569495
"processed_CRC34_S34_L001_NH_no_map",1507,4.71688403269485,0.958066808149123
"processed_CRC3_S3_L001_NH_no_map",1150,4.25137193093702,0.932531634527089
"processed_CRC4_S4_L001_NH_no_map",1222,3.13432638273232,0.88410890815119
"processed_CRC5_S5_L001_NH_no_map",1286,4.0566627182453,0.92353270490831
"processed_CRC6_S6_L001_NH_no_map",1059,3.87780293678879,0.919839452500243
"processed_CRC7_S7_L001_NH_no_map",1097,3.89911494530185,0.925235154225757
"processed_CRC8_S8_L001_NH_no_map",1187,4.38917516821422,0.954195068073308
"processed_CRC9_S9_L001_NH_no_map",786,3.07787597451825,0.834885753553825
