Sample	Observed_nh_nm	Shannon_nh_nm	Simpson_nh_nm	Observed_nh_m	Shannon_nh_m	Simpson_nh_m	Observed_h_nm	Shannon_h_nm	Simpson_h_nm	Observed_h_m	Shannon_h_m	Simpson_h_m
N10	4019	4.31494737	0.898760685	618	3.575488564	0.905874844	31	2.845821969	0.87037037	31	2.845821969	0.87037037
N11	3602	4.330211057	0.90228028	917	4.734914982	0.97287228	434	4.058969273	0.951963271	433	4.059986998	0.95202542
N12	3590	4.258124055	0.897262945	456	3.737542545	0.92041132	50	3.153352821	0.891570248	50	3.136870181	0.888203018
N13	3532	4.550302323	0.915755025	627	3.959964555	0.923839984	48	3.136596767	0.88831801	46	3.064881337	0.878643664
N14	4367	4.29969726	0.896743802	996	4.187383833	0.936845088	159	3.201601174	0.895490234	158	3.197516929	0.895092972
N15	3884	4.27508438	0.897012099	643	4.014890205	0.938927679	102	2.591161324	0.8254478	99	2.569378304	0.823060153
N16	4460	4.323706358	0.89656013	1265	4.310332396	0.940006083	226	3.412193282	0.911982585	223	3.832951539	0.942771912
N17	2906	4.574017008	0.91359511	845	5.112454426	0.962739102	95	4.438246108	0.984396433	94	4.428030618	0.984158063
N18	2661	4.610811753	0.916572586	685	5.013751893	0.964000941	85	4.395553761	0.986531191	85	4.395553761	0.986531191
N19	2336	4.547911347	0.914998584	580	5.11105383	0.971072668	76	3.586137088	0.930630756	76	3.586137088	0.930630756
N1	4228	4.33223376	0.898812997	915	3.967059387	0.920354173	102	3.839834125	0.919821525	101	3.826356068	0.918915222
N20	2608	4.62553582	0.916052072	690	5.109225703	0.97011642	106	3.812921927	0.927647884	106	3.812921927	0.927647884
N2	4172	4.267391692	0.896258056	845	3.902923012	0.919180865	55	3.192383542	0.882595486	53	3.142139396	0.877772748
N3	4060	4.560277906	0.908942784	2212	5.889775279	0.986735063	1552	5.204735842	0.967618778	1552	5.206542883	0.967722029
N4	4000	4.308775164	0.897284091	793	4.287422352	0.935557049	128	3.877782602	0.951940606	128	3.884756383	0.952529475
N5	3598	4.286059356	0.900603028	589	3.869551571	0.925644034	116	2.441565479	0.736859596	115	2.42668857	0.733622772
N6	4005	4.3126686	0.898365132	676	3.865514805	0.917372443	48	2.678846959	0.803890306	48	2.648949225	0.797190083
N7	3326	4.242760199	0.894919154	302	3.391399858	0.899213441	19	2.585958968	0.877777778	19	2.585958968	0.877777778
N8	3624	4.191023213	0.892204106	515	3.899320985	0.922629169	47	2.964399401	0.872686981	43	2.861515767	0.862769852
N9	4264	4.285613119	0.896146368	893	4.131819656	0.931404749	73	3.720971401	0.935860287	73	3.740584125	0.938616071
T10	4271	4.269186692	0.894495055	815	3.801861007	0.912279276	74	3.219001417	0.873280148	72	3.177418811	0.869240646
T11	3886	4.363338337	0.904957539	1070	4.348543654	0.945306695	306	3.629904468	0.899178902	304	3.625156176	0.899236211
T12	4280	4.33627811	0.900284917	981	3.916892715	0.924353273	111	3.204292111	0.867276563	110	3.192971003	0.866437342
T13	4278	4.266234385	0.895398543	1024	4.233214431	0.934189202	70	1.67723476	0.530477953	69	1.653606155	0.525663986
T14	4208	4.273204051	0.898238013	1045	4.242546921	0.939609594	163	3.510540382	0.928181354	161	3.501491445	0.927885195
T15	4379	4.281994245	0.897582738	1230	4.213978624	0.937546653	190	2.88642913	0.841875141	189	2.879258716	0.841193111
T16	4400	4.240945564	0.891961075	1106	4.260604535	0.935205971	161	3.672551318	0.900227113	161	3.672551318	0.900227113
T17	4263	4.917331346	0.928099931	2486	5.774400478	0.971742453	640	6.266359865	0.996982882	639	6.270844718	0.997051891
T18	4316	4.97714031	0.931429236	2705	5.909061074	0.974797245	802	6.136735815	0.993594914	801	6.135189519	0.993585844
T19	4000	4.857465212	0.925207133	1972	5.659000825	0.968044229	388	5.411735629	0.980443397	388	5.411735629	0.980443397
T1	3925	4.182727911	0.894028545	709	3.768157353	0.917723446	102	3.357998287	0.88975212	102	3.353278854	0.888745069
T20	4017	4.830521907	0.924533101	1990	5.566285701	0.968710487	404	5.555546603	0.988464624	402	5.549180462	0.988387702
T2	3994	4.323689704	0.901798576	705	3.613967204	0.906109329	60	3.572604885	0.935599491	59	3.551359245	0.934310019
T3	4174	4.336757863	0.902567366	1202	4.490721207	0.94570619	444	4.750686575	0.968721605	444	4.746051272	0.968551685
T4	3113	4.162232056	0.90033837	539	3.680760782	0.911455697	108	3.520861435	0.917174858	108	3.523448799	0.91713529
T5	4114	4.460354799	0.908946489	834	3.998975143	0.922710018	157	3.716114279	0.936041184	157	3.716690245	0.935936484
T6	4243	4.467398303	0.908537754	1085	4.108503871	0.942761937	308	2.812206502	0.829780064	308	2.81445223	0.830067553
T7	4270	4.14716543	0.885848861	798	4.007649433	0.935818794	71	1.53608391	0.546400764	71	1.522921955	0.54322691
T8	4378	4.218828282	0.891632327	1145	4.281198641	0.930540714	153	4.229123343	0.963472468	151	4.213353588	0.963039171
T9	4103	4.215831375	0.890397997	779	4.174394516	0.937605334	63	2.380211693	0.743074334	63	2.355934299	0.737347174
