"","Observed","Shannon","Simpson"
"N10_un.fastq_H_map",19,2.26788980471265,0.792517006802721
"N11_un.fastq_H_map",327,3.88900130804358,0.948692875896546
"N12_un.fastq_H_map",38,2.82592951410575,0.859809027777778
"N13_un.fastq_H_map",31,2.56244323686762,0.821563822677656
"N14_un.fastq_H_map",126,3.0535421077541,0.888716151280457
"N15_un.fastq_H_map",78,2.41913698832785,0.812296286565792
"N16_un.fastq_H_map",173,3.62382942164519,0.936798232484009
"N17_un.fastq_H_map",63,3.98477746686754,0.973866666666667
"N18_un.fastq_H_map",61,4.04871942528311,0.980536332179931
"N19_un.fastq_H_map",61,3.31892738947827,0.914830119375574
"N1_un.fastq_H_map",71,3.35359974510393,0.882249383833811
"N20_un.fastq_H_map",73,3.30682693798196,0.893777777777778
"N2_un.fastq_H_map",36,2.63330404111796,0.820711755776691
"N3_un.fastq_H_map",865,4.7094397241293,0.960318250915286
"N4_un.fastq_H_map",97,3.63317068815252,0.94472465118829
"N5_un.fastq_H_map",79,2.1463521723789,0.703430370385266
"N6_un.fastq_H_map",39,2.38077967081577,0.760317615920008
"N7_un.fastq_H_map",16,2.39001640588766,0.853223593964335
"N8_un.fastq_H_map",30,2.42528947612738,0.814058171745152
"N9_un.fastq_H_map",53,3.3312836691154,0.911389413988658
"T10_un.fastq_H_map",56,2.89123738446326,0.843558392197641
"T11_un.fastq_H_map",223,3.37621752469552,0.888413334907002
"T12_un.fastq_H_map",80,2.81291636046134,0.835873447009708
"T13_un.fastq_H_map",51,1.39711966302335,0.47865098335525
"T14_un.fastq_H_map",121,3.31324209887875,0.921553194280467
"T15_un.fastq_H_map",147,2.70049916487608,0.830235539018833
"T16_un.fastq_H_map",127,3.39038872692577,0.882988573170241
"T17_un.fastq_H_map",379,5.69165712761896,0.99453825755203
"T18_un.fastq_H_map",470,5.48619494130017,0.988729881570857
"T19_un.fastq_H_map",257,4.87004651860509,0.96754132231405
"T1_un.fastq_H_map",81,3.1111446000716,0.872356254649803
"T20_un.fastq_H_map",241,4.88943284450069,0.977873802582257
"T2_un.fastq_H_map",38,3.00522215036789,0.89387026383654
"T3_un.fastq_H_map",301,4.34396631017177,0.960776278909669
"T4_un.fastq_H_map",89,3.33873376572587,0.9078893996755
"T5_un.fastq_H_map",138,3.59295195830021,0.931544692303711
"T6_un.fastq_H_map",240,2.70311345788932,0.824173605885536
"T7_un.fastq_H_map",53,1.32403906303135,0.511014040353064
"T8_un.fastq_H_map",105,3.80087889610886,0.950390766523472
"T9_un.fastq_H_map",48,2.09622659901307,0.70375
