"","Observed","Shannon","Simpson"
"N10_filt.fastq_H_no_map",19,2.26788980471265,0.792517006802721
"N11_filt.fastq_H_no_map",327,3.88665095053769,0.948602312976554
"N12_filt.fastq_H_no_map",38,2.84839574507093,0.864639733444398
"N13_filt.fastq_H_no_map",33,2.66653134894176,0.839119222376513
"N14_filt.fastq_H_no_map",127,3.0580704468796,0.889155714284459
"N15_filt.fastq_H_no_map",80,2.43532490102983,0.814396338391247
"N16_filt.fastq_H_no_map",175,3.23631470165345,0.905516569279442
"N17_filt.fastq_H_no_map",64,4.00173278729163,0.974531961544949
"N18_filt.fastq_H_no_map",61,4.04871942528311,0.980536332179931
"N19_filt.fastq_H_no_map",61,3.31892738947827,0.914830119375574
"N1_filt.fastq_H_no_map",72,3.37190043447685,0.883852410236064
"N20_filt.fastq_H_no_map",73,3.30682693798196,0.893777777777778
"N2_filt.fastq_H_no_map",38,2.70225030415498,0.829354270149015
"N3_filt.fastq_H_no_map",867,4.70939490494273,0.960223640962323
"N4_filt.fastq_H_no_map",97,3.62743941770189,0.944119305216247
"N5_filt.fastq_H_no_map",80,2.16372751807218,0.707261664714843
"N6_filt.fastq_H_no_map",39,2.41685506424115,0.768969742671317
"N7_filt.fastq_H_no_map",16,2.39001640588766,0.853223593964335
"N8_filt.fastq_H_no_map",34,2.5652514231847,0.831052944675788
"N9_filt.fastq_H_no_map",53,3.30974943698929,0.90761937796277
"T10_filt.fastq_H_no_map",58,2.94018303805406,0.848858131487889
"T11_filt.fastq_H_no_map",224,3.37864549289735,0.888241687207427
"T12_filt.fastq_H_no_map",81,2.82645262077239,0.83701881656657
"T13_filt.fastq_H_no_map",52,1.42301041801697,0.484198118293095
"T14_filt.fastq_H_no_map",123,3.3229970695998,0.921889359002468
"T15_filt.fastq_H_no_map",148,2.70849867055641,0.831009365244537
"T16_filt.fastq_H_no_map",127,3.39038872692577,0.882988573170241
"T17_filt.fastq_H_no_map",381,5.68936310374371,0.994423203227622
"T18_filt.fastq_H_no_map",470,5.48619494130017,0.988729881570857
"T19_filt.fastq_H_no_map",258,4.87507568802014,0.967683218412081
"T1_filt.fastq_H_no_map",81,3.11738102045318,0.873626949644143
"T20_filt.fastq_H_no_map",243,4.90001343175075,0.978084980288078
"T2_filt.fastq_H_no_map",39,3.03667308299087,0.896604938271605
"T3_filt.fastq_H_no_map",303,4.35616596332875,0.961139056971679
"T4_filt.fastq_H_no_map",89,3.33638370506168,0.907960512497375
"T5_filt.fastq_H_no_map",138,3.5925182243881,0.931664566203275
"T6_filt.fastq_H_no_map",240,2.70104033985778,0.823889461113456
"T7_filt.fastq_H_no_map",53,1.3382568922745,0.514530476010365
"T8_filt.fastq_H_no_map",106,3.81101702738504,0.950732904253543
"T9_filt.fastq_H_no_map",48,2.12446491661216,0.710630154617352
