"","Observed","Shannon","Simpson"
"N10_un.fastq_NH_map",611,3.56547335176144,0.905545308593654
"N11_un.fastq_NH_map",896,4.71618389692168,0.972664022482767
"N12_un.fastq_NH_map",452,3.72896807087592,0.920140067242915
"N13_un.fastq_NH_map",620,3.94870834897423,0.923504378875465
"N14_un.fastq_NH_map",979,4.17281729774485,0.936516429003281
"N15_un.fastq_NH_map",637,4.00634996907043,0.938726848700057
"N16_un.fastq_NH_map",1235,4.28994537710758,0.939578944917837
"N17_un.fastq_NH_map",823,5.07724783497385,0.962014124408372
"N18_un.fastq_NH_map",674,4.99248937814069,0.963563969695331
"N19_un.fastq_NH_map",573,5.09509503816582,0.970778760072583
"N1_un.fastq_NH_map",901,3.95242042463507,0.919939526449506
"N20_un.fastq_NH_map",680,5.09050743913813,0.969789252403828
"N2_un.fastq_NH_map",833,3.88945916783287,0.918793412746893
"N3_un.fastq_NH_map",2086,5.83149940212653,0.986365797029552
"N4_un.fastq_NH_map",780,4.27039243960677,0.935113938579547
"N5_un.fastq_NH_map",579,3.85373471042228,0.925195122634244
"N6_un.fastq_NH_map",666,3.85109767491628,0.91692773648716
"N7_un.fastq_NH_map",299,3.38162687165691,0.898814935546524
"N8_un.fastq_NH_map",507,3.88256795964378,0.92209522403286
"N9_un.fastq_NH_map",869,4.10446189281773,0.930698384626253
"T10_un.fastq_NH_map",803,3.78805469152457,0.911854966751747
"T11_un.fastq_NH_map",1052,4.3343043531963,0.945023478437048
"T12_un.fastq_NH_map",965,3.90245113938494,0.923980549227717
"T13_un.fastq_NH_map",1008,4.21730899933633,0.933798677086851
"T14_un.fastq_NH_map",1024,4.22450949590698,0.9392154245367
"T15_un.fastq_NH_map",1201,4.1939341581344,0.937116681732182
"T16_un.fastq_NH_map",1081,4.23819575747493,0.934673232792457
"T17_un.fastq_NH_map",2402,5.74263897247533,0.971352786032987
"T18_un.fastq_NH_map",2585,5.87015341505043,0.974375123735683
"T19_un.fastq_NH_map",1906,5.6222427192245,0.967494355198438
"T1_un.fastq_NH_map",701,3.75764384829644,0.917413995428193
"T20_un.fastq_NH_map",1928,5.53250937548605,0.968231062248831
"T2_un.fastq_NH_map",700,3.60793805479086,0.90591684418146
"T3_un.fastq_NH_map",1167,4.46215704588036,0.94511893194635
"T4_un.fastq_NH_map",533,3.67073665772923,0.911127313835276
"T5_un.fastq_NH_map",819,3.982545101839,0.922250593980827
"T6_un.fastq_NH_map",1062,4.09312928302636,0.942468219437717
"T7_un.fastq_NH_map",787,3.99478723870271,0.93551535537887
"T8_un.fastq_NH_map",1123,4.26149609534605,0.930036405866013
"T9_un.fastq_NH_map",764,4.15478139070819,0.937125068539
