	Tissue													
N10_un.fastq_NH_map	normal													
N11_un.fastq_NH_map	normal													
N12_un.fastq_NH_map	normal													
N13_un.fastq_NH_map	normal													
N14_un.fastq_NH_map	normal													
N15_un.fastq_NH_map	normal													
N16_un.fastq_NH_map	normal													
N17_un.fastq_NH_map	normal													
N18_un.fastq_NH_map	normal													
N19_un.fastq_NH_map	normal													
N1_un.fastq_NH_map	normal													
N20_un.fastq_NH_map	normal													
N2_un.fastq_NH_map	normal													
N3_un.fastq_NH_map	normal													
N4_un.fastq_NH_map	normal													
N5_un.fastq_NH_map	normal													
N6_un.fastq_NH_map	normal													
N7_un.fastq_NH_map	normal													
N8_un.fastq_NH_map	normal													
N9_un.fastq_NH_map	normal													
T10_un.fastq_NH_map	tumour													
T11_un.fastq_NH_map	tumour													
T12_un.fastq_NH_map	tumour													
T13_un.fastq_NH_map	tumour													
T14_un.fastq_NH_map	tumour													
T15_un.fastq_NH_map	tumour													
T16_un.fastq_NH_map	tumour													
T17_un.fastq_NH_map	tumour													
T18_un.fastq_NH_map	tumour													
T19_un.fastq_NH_map	tumour													
T1_un.fastq_NH_map	tumour													
T20_un.fastq_NH_map	tumour													
T2_un.fastq_NH_map	tumour													
T3_un.fastq_NH_map	tumour													
T4_un.fastq_NH_map	tumour													
T5_un.fastq_NH_map	tumour													
T6_un.fastq_NH_map	tumour													
T7_un.fastq_NH_map	tumour													
T8_un.fastq_NH_map	tumour													
T9_un.fastq_NH_map	tumour													
