	Tissue	Patient													
processed_n1_F_filt.fastq	normal	1													
processed_n10_F_filt.fastq	normal	10													
processed_n11_F_filt.fastq	normal	11													
processed_n12_F_filt.fastq	normal	12													
processed_n13_F_filt.fastq	normal	13													
processed_n14_F_filt.fastq	normal	14													
processed_n15_F_filt.fastq	normal	15													
processed_n16_F_filt.fastq	normal	16													
processed_n17_F_filt.fastq	normal	17													
processed_n18_F_filt.fastq	normal	18													
processed_n19_F_filt.fastq	normal	19													
processed_n2_F_filt.fastq	normal	2													
processed_n20_F_filt.fastq	normal	20													
processed_n3_F_filt.fastq	normal	3													
processed_n4_F_filt.fastq	normal	4													
processed_n5_F_filt.fastq	normal	5													
processed_n6_F_filt.fastq	normal	6													
processed_n7_F_filt.fastq	normal	7													
processed_n8_F_filt.fastq	normal	8													
processed_n9_F_filt.fastq	normal	9													
processed_t1_F_filt.fastq	tumour	1													
processed_t10_F_filt.fastq	tumour	10													
processed_t11_F_filt.fastq	tumour	11													
processed_t12_F_filt.fastq	tumour	12													
processed_t13_F_filt.fastq	tumour	13													
processed_t14_F_filt.fastq	tumour	14													
processed_t15_F_filt.fastq	tumour	15													
processed_t16_F_filt.fastq	tumour	16													
processed_t17_F_filt.fastq	tumour	17													
processed_t18_F_filt.fastq	tumour	18													
processed_t19_F_filt.fastq	tumour	19													
processed_t2_F_filt.fastq	tumour	2													
processed_t20_F_filt.fastq	tumour	20													
processed_t3_F_filt.fastq	tumour	3													
processed_t4_F_filt.fastq	tumour	4													
processed_t5_F_filt.fastq	tumour	5													
processed_t6_F_filt.fastq	tumour	6													
processed_t7_F_filt.fastq	tumour	7													
processed_t8_F_filt.fastq	tumour	8													
processed_t9_F_filt.fastq	tumour	9													
