	Tissue	dummy
N10_un.fastq_H_map	normal	normal
N11_un.fastq_H_map	normal	normal
N12_un.fastq_H_map	normal	normal
N13_un.fastq_H_map	normal	normal
N14_un.fastq_H_map	normal	normal
N15_un.fastq_H_map	normal	normal
N16_un.fastq_H_map	normal	normal
N17_un.fastq_H_map	normal	normal
N18_un.fastq_H_map	normal	normal
N19_un.fastq_H_map	normal	normal
N1_un.fastq_H_map	normal	normal
N20_un.fastq_H_map	normal	normal
N2_un.fastq_H_map	normal	normal
N3_un.fastq_H_map	normal	normal
N4_un.fastq_H_map	normal	normal
N5_un.fastq_H_map	normal	normal
N6_un.fastq_H_map	normal	normal
N7_un.fastq_H_map	normal	normal
N8_un.fastq_H_map	normal	normal
N9_un.fastq_H_map	normal	normal
T10_un.fastq_H_map	tumour	tumour
T11_un.fastq_H_map	tumour	tumour
T12_un.fastq_H_map	tumour	tumour
T13_un.fastq_H_map	tumour	tumour
T14_un.fastq_H_map	tumour	tumour
T15_un.fastq_H_map	tumour	tumour
T16_un.fastq_H_map	tumour	tumour
T17_un.fastq_H_map	tumour	tumour
T18_un.fastq_H_map	tumour	tumour
T19_un.fastq_H_map	tumour	tumour
T1_un.fastq_H_map	tumour	tumour
T20_un.fastq_H_map	tumour	tumour
T2_un.fastq_H_map	tumour	tumour
T3_un.fastq_H_map	tumour	tumour
T4_un.fastq_H_map	tumour	tumour
T5_un.fastq_H_map	tumour	tumour
T6_un.fastq_H_map	tumour	tumour
T7_un.fastq_H_map	tumour	tumour
T8_un.fastq_H_map	tumour	tumour
T9_un.fastq_H_map	tumour	tumour
