	Tissue	Dummy
N10_filt.fastq_H_no_map	normal	5
N11_filt.fastq_H_no_map	normal	5
N12_filt.fastq_H_no_map	normal	5
N13_filt.fastq_H_no_map	normal	5
N14_filt.fastq_H_no_map	normal	5
N15_filt.fastq_H_no_map	normal	5
N16_filt.fastq_H_no_map	normal	5
N17_filt.fastq_H_no_map	normal	5
N18_filt.fastq_H_no_map	normal	5
N19_filt.fastq_H_no_map	normal	5
N1_filt.fastq_H_no_map	normal	5
N20_filt.fastq_H_no_map	normal	5
N2_filt.fastq_H_no_map	normal	5
N3_filt.fastq_H_no_map	normal	5
N4_filt.fastq_H_no_map	normal	5
N5_filt.fastq_H_no_map	normal	5
N6_filt.fastq_H_no_map	normal	5
N7_filt.fastq_H_no_map	normal	5
N8_filt.fastq_H_no_map	normal	5
N9_filt.fastq_H_no_map	normal	5
T10_filt.fastq_H_no_map	tumour	5
T11_filt.fastq_H_no_map	tumour	5
T12_filt.fastq_H_no_map	tumour	5
T13_filt.fastq_H_no_map	tumour	5
T14_filt.fastq_H_no_map	tumour	5
T15_filt.fastq_H_no_map	tumour	5
T16_filt.fastq_H_no_map	tumour	5
T17_filt.fastq_H_no_map	tumour	5
T18_filt.fastq_H_no_map	tumour	5
T19_filt.fastq_H_no_map	tumour	5
T1_filt.fastq_H_no_map	tumour	5
T20_filt.fastq_H_no_map	tumour	5
T2_filt.fastq_H_no_map	tumour	5
T3_filt.fastq_H_no_map	tumour	5
T4_filt.fastq_H_no_map	tumour	5
T5_filt.fastq_H_no_map	tumour	5
T6_filt.fastq_H_no_map	tumour	5
T7_filt.fastq_H_no_map	tumour	5
T8_filt.fastq_H_no_map	tumour	5
T9_filt.fastq_H_no_map	tumour	5
