	Tissue	Dummy
N10_un.fastq_NH_map	normal	f
N11_un.fastq_NH_map	normal	f
N12_un.fastq_NH_map	normal	f
N13_un.fastq_NH_map	normal	f
N14_un.fastq_NH_map	normal	f
N15_un.fastq_NH_map	normal	f
N16_un.fastq_NH_map	normal	f
N17_un.fastq_NH_map	normal	f
N18_un.fastq_NH_map	normal	f
N19_un.fastq_NH_map	normal	f
N1_un.fastq_NH_map	normal	f
N20_un.fastq_NH_map	normal	f
N2_un.fastq_NH_map	normal	f
N3_un.fastq_NH_map	normal	f
N4_un.fastq_NH_map	normal	f
N5_un.fastq_NH_map	normal	f
N6_un.fastq_NH_map	normal	f
N7_un.fastq_NH_map	normal	f
N8_un.fastq_NH_map	normal	f
N9_un.fastq_NH_map	normal	f
T10_un.fastq_NH_map	tumour	f
T11_un.fastq_NH_map	tumour	f
T12_un.fastq_NH_map	tumour	f
T13_un.fastq_NH_map	tumour	f
T14_un.fastq_NH_map	tumour	f
T15_un.fastq_NH_map	tumour	f
T16_un.fastq_NH_map	tumour	f
T17_un.fastq_NH_map	tumour	f
T18_un.fastq_NH_map	tumour	f
T19_un.fastq_NH_map	tumour	f
T1_un.fastq_NH_map	tumour	f
T20_un.fastq_NH_map	tumour	f
T2_un.fastq_NH_map	tumour	f
T3_un.fastq_NH_map	tumour	f
T4_un.fastq_NH_map	tumour	f
T5_un.fastq_NH_map	tumour	f
T6_un.fastq_NH_map	tumour	f
T7_un.fastq_NH_map	tumour	f
T8_un.fastq_NH_map	tumour	f
T9_un.fastq_NH_map	tumour	f
