	Tissue	Dummy
N10_filt.fastq_NH_no_map	normal	f
N11_filt.fastq_NH_no_map	normal	f
N12_filt.fastq_NH_no_map	normal	f
N13_filt.fastq_NH_no_map	normal	f
N14_filt.fastq_NH_no_map	normal	f
N15_filt.fastq_NH_no_map	normal	f
N16_filt.fastq_NH_no_map	normal	f
N17_filt.fastq_NH_no_map	normal	f
N18_filt.fastq_NH_no_map	normal	f
N19_filt.fastq_NH_no_map	normal	f
N1_filt.fastq_NH_no_map	normal	f
N20_filt.fastq_NH_no_map	normal	f
N2_filt.fastq_NH_no_map	normal	f
N3_filt.fastq_NH_no_map	normal	f
N4_filt.fastq_NH_no_map	normal	f
N5_filt.fastq_NH_no_map	normal	f
N6_filt.fastq_NH_no_map	normal	f
N7_filt.fastq_NH_no_map	normal	f
N8_filt.fastq_NH_no_map	normal	f
N9_filt.fastq_NH_no_map	normal	f
T10_filt.fastq_NH_no_map	tumour	f
T11_filt.fastq_NH_no_map	tumour	f
T12_filt.fastq_NH_no_map	tumour	f
T13_filt.fastq_NH_no_map	tumour	f
T14_filt.fastq_NH_no_map	tumour	f
T15_filt.fastq_NH_no_map	tumour	f
T16_filt.fastq_NH_no_map	tumour	f
T17_filt.fastq_NH_no_map	tumour	f
T18_filt.fastq_NH_no_map	tumour	f
T19_filt.fastq_NH_no_map	tumour	f
T1_filt.fastq_NH_no_map	tumour	f
T20_filt.fastq_NH_no_map	tumour	f
T2_filt.fastq_NH_no_map	tumour	f
T3_filt.fastq_NH_no_map	tumour	f
T4_filt.fastq_NH_no_map	tumour	f
T5_filt.fastq_NH_no_map	tumour	f
T6_filt.fastq_NH_no_map	tumour	f
T7_filt.fastq_NH_no_map	tumour	f
T8_filt.fastq_NH_no_map	tumour	f
T9_filt.fastq_NH_no_map	tumour	f
