Tumour_number,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory.(Tregs),NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
RT10,0,0.196594767,0.029135674,0,0,0.431276087,0,0.007947054,0,0.140667837,0,0.010623095,0.05466678,0,0.015882081,0,0.053523319,0,0.059683305,0,0
RT11,0.122690755,0,0.080352391,0.076372322,0,0.370760725,0,0,0,0.014141691,0.05532405,0.005396923,0.10482065,0.009446669,0.067864321,0,0.028464819,0.022536024,0,0,0.04182866
RT12,0,0.180047831,0,0,0,0.486327932,0,0,0,0.099450292,0,0.00542669,0.106997316,0.020704219,0.054021357,0,0.03865655,0,0.008367814,0,0
RT18,0.170414296,0.074327128,0.017142904,0,0,0.395197563,0,0.038407189,0,0.101993027,0,0.009800128,0.015078176,0,0.053327998,0,0.06532798,0,0.049210508,0.009773103,0
RT22,0.003580473,0.022366618,0.021458516,0.200354502,0,0.250404465,0,0.060102897,0,0.019782655,0,0.082837917,0.069348447,0.050864748,0.146095683,0,0.00488654,0.021254715,0,0.046661825,0
RT24,0.171989899,0.26295133,0.028099822,0,0,0.242394784,0,0.077620934,0,0.083596995,0,0.003726301,0.06061815,0.006832392,0.026993303,0,0.017570857,0,0.017605235,0,0
RT25,0.157645876,0.22091762,0.101026335,0,0,0.225517539,0,0.053285169,0,0.07439784,0,0.0001,0.056203671,0.001868982,0.064017306,0,0.036615659,0,0.008380813,0,0
RT26,0.145049858,0,0.0002,0.141267608,0,0.27330678,0,0.059265918,0,0.191868455,0,0.073513812,0.013970723,0,0,0,0.047043248,0.052555249,0,0.001926164,0
RT28,0,0,0.084583645,0.017155944,0,0.230138449,0,0.019061956,0.071121483,0.136124009,0,0.109734736,0.080435296,0,0.022654248,0,0.049114743,0,0.138898644,0.040976849,0
RT30,0.272709761,0.10859577,0,0.022415675,0.023432034,0.351252543,0,0.024323703,0,0.104173153,0,0.032873468,0.035387119,0,0.002820905,0,0.020096056,0,0.001919813,0,0
RT31,0.024711873,0,0.419427087,0.023775434,0,0.264495949,0,0,0,0.043359621,0.00141323,0.056805942,0.0636363,0,0,0,0.039359105,0.063015458,0,0,0
RT32,0.026206318,0.179186881,0.07758133,0.041924429,0,0.323188223,0,0.015840859,0,0.126553208,0,0.076068076,0.057434824,0,0.03174907,0,0.030064257,0,0.008601188,0.005601336,0
RT33,0,0.101624191,0.030101242,0.138812537,0,0.370938182,0,0.034497367,0,0.068004837,0,0.113378876,0.0008,0,0,0,0.093950526,0.040266015,0,0.007605565,0
RT34,0.199919145,0.229923742,0,0.00992252,0,0.196116661,0,0.114034145,0,0.101593519,0,0.045048068,0.037632249,0,0.02491571,0,0.016824577,0,0.01733221,0.006737455,0
RT35,0.0003,0.134123547,0.073616342,0.040534385,0,0.411918517,0,0,0,0.087546598,0,0.022983505,0.025406431,0.003569565,0.099053312,0,0.04122009,0.032975974,0.026782075,0,0
RT36,0,0,0.121423068,0,0.001342716,0.176962802,0,0,0.001653683,0,0.033541491,0.132424815,0,0.004171991,0.426901315,0.066121597,0.014633608,0.020822914,0,0,0
RT37,0,0.037047665,0.115051751,0,0,0.303770475,0,0.085433217,0,0.063769375,0.0017688,0.19446458,0,0,0.050635357,0,0.073973686,0,0.057973361,0.016111733,0
RT38,0,0,0.184799327,0.005815446,0,0.408537074,0,0,0,0.006950708,0.013836337,0.05909593,0.046277455,0,0.067077647,0,0.016330805,0.19127927,0,0,0
RT4,0,0.123259756,0,0,0,0.275442842,0,0,0.081457029,0,0.011200725,0,0.117006857,0,0,0,0.135485631,0.256147161,0,0,0
RT8,0.072245685,0.112883596,0.019407255,0,0,0.436346721,0,0,0,0.126752083,0,0.02310152,0.045146376,0,0.052533434,0,0.062961324,0,0.042023657,0.006598349,0
RT9,0,0.034503307,0.191896241,0.034198843,0.024590224,0.352960348,0,0.052918578,0,0.137327883,0,0.060771395,0.038628807,0,0.030384706,0,0.041819668,0,0,0,0
