Tumour_number,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory.(Tregs),NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
RT1,0.302493766,0.080313809,0.017873404,0.013582832,0,0.256984773,0,0.082084636,0,0.088461134,0,0.0002,0.089358438,0.020788653,0,0,0.015540113,0,0.032269352,0,0
RT13,0.005917676,0,0.146725325,0.061090247,0,0.42850459,0,0,0,0.171144695,0,0.074280331,0.001687689,0,0,0,0.065277964,0,0.045371484,0,0
RT23,0.074993006,0.288578312,0.011609568,0.021882312,0.041289111,0.309998351,0,0.005882319,0,0.074244063,0,0.010092518,0.059739488,0.001994185,0.043538083,0,0.046929147,0,0.009229538,0,0
RT5,0.019862607,0,0.190329111,0,0,0.484919923,0,0,0,0.054262726,0,0.042546055,0.086227036,0,0.011667744,0,0.022592817,0.08759198,0,0,0
RT6,0.053977974,0.305280308,0.01349353,0.009985033,0,0.298443913,0,0.031020943,0,0.103031393,0,0.00162601,0.052152423,0.011615141,0.036799143,0,0.030025427,0,0.052548762,0,0
RT15,0,0.237837156,0.056378902,0,0,0.463502158,0,0,0,0.083470681,0,0.014140396,0.041923315,0.014986974,0.062280566,0,0.025479852,0,0,0,0
RT2,0.084435147,0.015290054,0,0.068497359,0,0.453545464,0,0,0.016921082,0.074636128,0,0.075814868,0.031568112,0,0,0,0.115429123,0.051118337,0,0.012744326,0
RT21,0.053115207,0.071484104,0.069182163,0.054151081,0,0.42988634,0,0,0,0.139297931,0,0.036603058,0.014430486,0,0.003565012,0,0.017734964,0,0.075268025,0.035281629,0
RT39,0,0.109336003,0.034278502,0.028155508,0,0.198999754,0,0.212930962,0,0.179044408,0,0.103438368,0,0,0,0,0.077103234,0,0.039199182,0.0006,0.016963413
RT40,0,0.075778222,0,0,0,0.446018222,0.00618173,0,0,0.152019425,0,0.027771571,0,0.005576963,0.036566527,0,0.041233153,0,0.179906072,0.028948115,0
RT7,0,0.031640847,0.107223774,0.047354545,0,0.585473543,0,0,0,0.094013281,0,0.039211201,0.005791718,0,0.012972859,0,0.027249041,0,0.017722225,0.031346965,0
