Tumour_number,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory.(Tregs),NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
RT1,0,0,0.06224005,0.068574026,0,0.410615959,0,0.027738791,0.027896496,0.115142984,0,0.021588368,0.093724559,0.115050949,0.038866183,0,0.00456207,0,0.013999567,0,0
RT13,0.012780992,0,0.026750385,0,0,0.286195675,0.007436711,0,0,0.126921282,0,0,0.18122848,0.238475767,0.059760372,0,0.042234191,0.018216145,0,0,0
RT23,0,0,0.0001,0,0,0.139700853,0,0.111735679,0.037819213,0,0.025838832,0.064256529,0.310701346,0.099406351,0.082300072,0,0.059568525,0.057354369,0,0,0.011232232
RT5,0.028364034,0,0.131455916,0,0.017510757,0.352421501,0,0,0,0.10058098,0,0,0.190577616,0.014918087,0.102266473,0,0.027502328,0.022626151,0.011776157,0,0
RT6,0.044322811,0,0.092274594,0,0,0.396252312,0,0,0.02565071,0.034537414,0.044573332,0.006083937,0.203897592,0.106694287,0,0,0.022332924,0.018819972,0,0,0.004560116
RT15,0.058488249,0.051359764,0.085643844,0.042787011,0,0.269629336,0,0.035178688,0,0.154157838,0,0.072695606,0.07311623,0,0,0,0.033217911,0,0.123725522,0,0
RT2,0,0,0.004942789,0,0,0.493678154,0,0,0,0.144989076,0,0,0.187301652,0.005218324,0.013163644,0,0.064408075,0,0.086298287,0,0
RT21,0,0,0.006801264,0,0,0.422328824,0.001150792,0,0,0.129668607,0,0.012465508,0.215445894,0.054357105,0.038130706,0,0.026406971,0,0.09324433,0,0
RT39,0.13487103,0,0.014799483,0.021959774,0,0.210219703,0.273326625,0,0,0.019661877,0.010701486,0.009908062,0.129937377,0,0,0,0.066725546,0.072697959,0,0,0.035191079
RT40,0,0,0.033352079,0,0.0007,0.260760979,0,0.035656976,0,0.192078409,0,0.049610577,0.11136777,0.075649481,0.04883166,0,0.025455368,0,0.099030105,0.004581448,0.062892574
RT7,0,0,0,0,0.061900439,0.424435129,0,0,0,0.149298563,0,0.055838286,0.13390475,0,0,0,0.074162859,0,0.083275768,0,0.017184206
