gene,ALDH1L1,ARHGAP45,ARHGAP9,ASRGL1,ATOH1,ATP2A3,B3GALT5,BCL6,C15orf48,C1orf115,CA12,CAPN5,CASP5,CCDC68,CD24,CHGA,CREB3L1,CSF3R,CYTH4,DISP2,EDN3,EGLN3,FAM157A,FAM157B,FAM46C,FER1L6,FMNL1,G0S2,HEPACAM2,HGD,HOXB13,HOXD13,IFI44L,IL18,ITGAX,ITLN1,ITM2C,KRT19,LCP2,LGALS3,LOC100132062,LOC101928152,LOC101928465,LOC105369526,LOC107987348,LOC112268313,LOC112268321,LOC400499,LOC729737,LOC729966,LRRC26,LRRK2,LYPD8,MAOA,MCU,MEFV,MMP25,MMP28,MUC1,MX2,MYO1F,MYO1G,MYOCD,NEURL1,NLRP1,PIK3R5,PKIB,PLA2G2A,PLAC8,PLEK,POU2F2,PSTPIP1,PYY,REP15,RHOC,RIMKLA,RIMS3,RIPOR2,RNF186,SCX,SDSL,SELL,SESN2,SH2D3C,SH3TC1,SPINK1,SPINK5,SRI,SULT1A4,TAGAP,TCEA3,TFF3,TNFSF13,TPD52,TPH1,TRAF1,TTC22,VAV1,WFDC2,XDH,ZBTB7C
RT1,-2.5845433,0.56468806,0.23468661,1.25910103,-0.49897261,-0.54112579,-0.7958183,-0.76510395,0.37088949,-1.39875035,-1.21422568,0.29656282,0.20983841,0.75184016,0.13147535,-1.04606087,-0.39749331,-0.96075041,-0.11535608,-0.19693187,-0.02405606,0.91867211,-0.48675766,-0.51203196,0.33834807,-1.74496397,-0.23126997,-1.4981315,-0.51532434,0.14581088,0.94095911,-1.71111579,0.84986885,-0.59739897,-0.8280076,-3.8030275,-0.29729146,-0.09223528,-0.32442131,0.22559822,-0.14792315,0.0138556,-0.33167293,1.67553736,0.46631649,1.66929983,-0.18021746,-0.68876615,-1.17568936,0.05186755,-0.03235108,-0.78763974,-1.96928617,-0.22143713,-0.13698151,-0.70098757,-0.35380216,-1.07382706,0.38972293,-0.55700869,-0.3162793,0.01977253,-0.94240314,-1.07761782,-0.24142173,-0.2594216,-0.82456435,0.56563771,-1.24591223,-0.78863908,-0.46248226,0.1769743,-1.191315,-1.033633,-0.08625671,-0.4075057,0.413657,-0.6142317,-0.556729,0.1314672,-0.5968273,-0.8662025,-0.08472307,-0.4196856,-0.5312663,0.709973,-1.688376,0.2255681,0.267697,-0.4996421,0.4171631,0.4331314,0.3867644,0.4884245,-0.6944066,0.02996081,0.1114287,-0.2427106,-0.4768494,0.6688071,0.8301093
RT2,1.39824878,-0.82320999,-1.41820298,1.73818894,3.1843358,1.06159246,1.37302205,-0.2975723,1.25427465,1.47400686,0.77253997,0.25463128,0.51831125,0.70641339,0.93464364,-1.45152598,1.16084268,-0.85276177,-1.00537888,0.54254072,-0.18228006,1.05220351,-0.79228895,-0.18504182,0.52474209,2.20266867,-0.95540857,-0.67145293,-1.41326593,1.10365061,1.46446989,-1.93425934,-0.36916848,0.62153989,-0.76630564,1.73036199,1.11670605,0.33161829,-0.4901154,0.90048033,-0.09270584,-0.38404376,0.05178781,2.93635406,0.72979779,-0.65762628,-0.55226658,-0.98986773,-0.35273176,0.72303582,2.35777717,-0.78763974,2.37850729,1.57228408,1.11652137,-0.28572335,-0.89344778,0.84926841,1.25028333,-0.13499703,-0.93675353,-0.58004271,0.66435201,1.81208125,-1.099066,-1.06120263,-0.22812172,-0.66910676,1.31979052,-0.47166064,-1.3787643,-1.189379,-1.191315,1.822337,0.7180993,0.4903893,1.216523,-0.4895897,1.813807,-0.6202164,0.3991308,-0.7791911,0.3838698,-0.5157269,-0.4552,1.53443,0.9889024,1.398904,1.066181,-0.498136,1.269691,2.247014,0.9516975,0.9127987,0.4340587,-0.3868552,0.5985409,-1.361526,4.188553,1.014316,2.050486
RT3,1.11263496,-0.081842113,0.313149102,-0.001183336,1.320185838,1.322712518,2.192106168,-1.116945136,0.963201048,1.396787309,1.164456394,0.900356074,1.061919525,1.519478083,-0.114290886,2.224774689,0.559415758,-1.507294118,-0.843323021,1.360366661,2.632274572,0.68548955,-0.160910535,-0.159664538,1.082825243,3.196615946,-0.369608211,-2.240068847,3.295445753,1.130420851,2.115766012,2.184785961,-0.283646308,0.290098643,-1.556271653,3.670043296,1.493567237,0.954124417,-1.307248562,0.922819163,0.390852634,-0.921215249,-0.606833497,1.377317779,1.157535913,-1.163996807,-0.484213113,-0.411144413,-0.252713876,-0.250413322,1.719590621,-0.928488766,3.357601461,1.288026161,0.168672802,-0.561498893,-1.0117694,2.057079993,1.171768935,-0.670883601,-0.887181484,-0.399372682,-0.082797403,1.318385508,-0.302221924,-0.547103677,3.117726823,1.800051536,1.772070029,-1.83460764,-0.209538233,-0.1174171,3.362562,1.9686,0.5178114,0.7945638,0.08884978,-0.406945,0.2402149,0.1804167,0.07170228,-0.8969741,0.5970818,-0.897223,-0.9315986,-0.6848399,1.915144,1.392719,0.4261249,0.2871119,0.8825724,0.3045507,0.4409078,0.4829774,1.580527,-0.4578069,0.8105616,-0.3480712,1.181379,1.55123,1.409597
RT4,-2.29686122,-0.40973521,-0.33023444,-0.46556704,-3.38934436,-1.16818178,-1.4384132,0.9779388,-0.73591957,0.0957576,-0.60375316,-0.7795133,-1.23708058,-0.78096999,0.3010525,-1.85699109,-0.37058586,1.08524433,-0.19857651,-1.07399138,-0.90441478,-1.31044583,0.39756079,0.28791815,-0.70379752,-1.87849537,-0.04038291,1.56992143,-2.01940174,-1.15347211,-3.19687057,-0.54796498,1.41211969,-0.49971413,0.27127463,-2.70441521,-0.64368285,-0.33348859,0.65228268,-0.27491655,-0.27652402,0.66741923,0.04473726,-2.29475456,0.24921504,-0.61309444,-0.67181173,0.33715433,0.35514554,-0.83233487,-0.9380597,0.57089889,-2.45479398,-0.89273348,-0.16145649,0.18406046,1.02195703,-1.02253376,-1.16640654,0.77163943,-0.03656705,-0.14530722,0.37575736,-1.05699854,-0.20015039,-0.06613102,-1.2407697,-2.00661095,-0.82704371,1.04372614,0.31833804,-0.6372651,-1.191315,-1.53007,-0.04819581,0.1171808,-0.6457346,0.3238524,-0.9314225,-1.08034,-0.4168866,0.9985821,-0.3211119,0.2601649,0.4572605,1.058921,-0.6205355,-0.6259261,-0.05622963,0.5381162,-1.137467,0.06820186,-0.5773339,-0.5516655,-0.8950773,-0.06964753,-0.2793218,-0.1719416,0.5422987,-2.85142,-2.579387
RT5,1.71844013,-0.0000972,0.30229347,0.77661876,1.58046894,1.27896916,2.05349224,-0.75383711,1.64764189,1.43289538,0.62197373,0.769346,1.36825639,1.19979741,0.68460455,2.52795004,0.58014905,-0.16724997,0.42395723,0.82610031,2.36269083,0.17224038,-0.66236843,-0.74862675,1.90249289,1.75154359,0.07979689,-0.97312124,2.56045064,1.23427079,2.05830731,2.35961549,1.04138504,0.98966142,-0.39108687,4.41559927,1.65662704,0.90115555,-0.15414809,0.83971403,-0.3939758,-0.42111913,-1.11464707,1.70610926,-4.66825178,-0.6943301,-0.47114103,-0.9119447,-0.44678153,1.56556041,1.09096074,0.32339147,2.12633962,1.28737458,0.19007072,-0.44195879,0.0408083,1.59850506,0.57786626,0.03339911,0.1120547,0.25157414,1.30411192,1.00182632,0.21064639,0.21699067,1.81470408,2.18951559,1.674164,-0.2159813,0.12531793,-0.05625527,3.668497,1.045809,0.64201,0.6477242,-0.02847211,0.3604316,1.173266,-0.6417226,0.5957269,0.7492777,0.6404199,0.2168564,-0.6400726,1.255786,2.047127,1.157592,0.4812446,0.4866717,0.8418915,0.4799037,1.118987,0.6738218,1.542427,-0.1802866,0.6295507,0.4537643,1.718092,1.267723,1.07613
RT6,0.9220146,0.254069911,0.162240856,0.395915459,-0.55613102,-0.328222053,-2.993042874,0.16354238,0.747351187,-1.21642879,-1.920332941,0.915561411,-0.080648718,0.241524865,-1.113070917,0.25322211,-2.969741972,0.549157905,0.093230322,-0.756960638,0.155293609,0.008130359,0.291251131,0.554051543,0.760513208,-1.684339353,0.085505713,1.319555771,-0.026971571,-0.24460143,1.962823099,-0.430181947,1.014891242,-0.268934786,0.219617107,0.416480209,0.146870942,-0.055222973,0.484510907,0.281337225,0.328111447,0.11864494,0.959139414,-1.447456697,-4.668251783,1.344406358,-0.142117619,0.136644132,0.987046626,-0.518677308,-1.317549322,0.293794216,-1.761646803,0.465801612,0.034050302,0.179980919,0.193668328,-2.76550307,-0.917774938,0.16539104,0.112742959,0.399548152,-0.333883814,-1.234929746,-0.007102651,0.392443917,-2.19756237,-1.159313094,-0.920759551,1.034165006,-0.316740829,0.03286259,-1.191315,-0.3849375,-0.4059195,0.05873518,-0.05368353,0.1645988,-0.2612648,0.0107535,-0.5169572,0.2424601,0.2095164,0.01483369,-0.006152888,0.3890162,0.8337096,-0.06560685,-0.1143753,0.4638699,-0.5235636,0.1034982,-0.228998,0.4208887,-1.146392,0.3449198,-1.017556,-0.001072502,-1.708993,0.3234361,-3.272534
RT7,0.620909508,0.607481911,0.595641276,0.695302528,0.901115077,-0.176656467,-0.632188872,0.548713669,-0.055194907,0.043113866,-0.377058326,0.221976393,0.887692774,0.113894395,0.437783318,3.791983148,0.246272621,0.983905819,0.31637696,-0.319012226,-0.182280062,0.074359329,0.773290014,0.44336007,-0.214249292,0.47965282,0.253913012,0.297588368,1.387335826,-0.186629098,1.350777611,-1.123329127,-0.565878776,0.123117749,0.718442358,1.702255258,-0.653701394,-0.194669373,0.371398945,-0.205465333,0.642290612,0.322135133,0.820463837,1.270072248,0.521009359,1.1474839,0.383550578,0.813081006,0.008889928,0.968158282,-0.481301298,0.370021581,0.881864877,0.075772312,-0.00000184,0.529699042,0.611225829,0.132773868,0.865151217,0.412690811,0.553471857,0.505283691,-0.018541141,0.686024337,0.49029773,0.415168423,0.565491456,1.24413261,0.471211758,0.61772284,0.310051215,0.3192958,1.293592,0.005260151,0.02745149,0.2396999,0.1321779,0.5771393,0.9155997,1.136663,-0.26451,0.2622628,0.5117973,0.4419043,0.202287,0.9912881,-0.06091968,-0.05859772,0.6372744,0.3124509,0.8125155,0.1075254,-0.113664,0.1981905,2.785434,0.5030635,0.3441461,0.551789,0.9552545,1.113548,0.2863826
RT8,-1.89139612,0.7242597,0.3970844,0.42386282,-0.49897261,-0.22056147,-1.89443059,0.71804243,-1.05283128,-0.91104714,-1.010521,-0.08219656,-1.62484611,-0.33156522,-0.58958118,0.15791193,-1.47096963,0.72141608,0.01960016,-0.52300977,-0.18228006,-1.09207556,0.23565694,0.43872079,-0.41941034,-3.41894041,0.3377555,0.41317312,-1.32625456,-1.15347211,-3.44818499,-0.92265843,0.35041196,-0.67973743,0.44987134,-1.72358595,-1.16647203,-1.0181312,0.06899546,-0.8641943,0.46833322,1.1339921,2.41942293,-2.00707249,1.19650092,2.19175149,1.13047415,0.95603277,0.69765897,-2.39047949,-0.91208421,0.25852608,-2.04932888,-0.65755885,0.01938728,0.61062389,0.55576495,-1.02253376,-0.79935088,0.21817705,0.41211975,0.13288283,-0.3374271,-0.41805974,0.52613435,0.22608621,-1.59142657,0.53611527,-0.71066437,-0.24694353,0.66237697,0.548327,-1.191315,-0.4555551,-0.6182884,0.1471458,-0.2248758,0.2669876,-1.943023,0.7188822,-0.6671189,-0.1000302,-0.2700567,0.5360628,0.8297949,-2.002761,0.9176749,-0.4257034,0.1330607,0.05736949,-0.269966,-1.761709,-0.9487659,-0.4438244,-0.3197131,0.6159902,0.4538452,-0.2034899,-0.3226987,-1.3091,-1.855468
RT9,1.96895106,0.10712443,-0.51150093,0.0699512,2.12004397,1.30340166,2.07795557,-1.18766066,1.52161263,1.6659748,0.50553698,0.84609484,1.3112479,0.93467205,-0.04915961,1.57699611,0.59585745,-0.95201673,-0.30902389,1.34775689,2.29785331,0.44597427,-1.5825167,-1.33109313,1.10822314,2.06582333,-0.26351887,-1.45161149,2.69298325,1.14911298,1.76519676,1.7293023,-1.86879153,0.44673826,-0.79948195,2.20578569,1.68696663,0.18487585,-0.6181094,0.64526072,-1.08212792,-0.6070972,-0.67769301,0.61396634,1.30341049,-1.57965597,0.19568884,-0.34517226,-1.64982865,1.0107179,1.14137526,-0.52023486,2.6912343,1.05152648,0.2827725,-0.47069204,-0.87797308,1.81067811,0.6632717,-1.30602944,-0.37737489,-0.24640334,0.79237437,1.12191658,-0.38301118,-0.55695597,2.54639247,2.94316159,1.15516221,-1.37426592,-0.15115989,-0.1262577,2.679886,1.332131,0.1982752,0.3633411,-0.2050013,-0.4734659,1.033781,-0.4331779,0.6738783,-0.8363495,0.5055667,-0.2649503,-0.2358854,1.165721,1.718852,0.9799528,0.1959726,-0.6775351,0.7710157,0.7744048,0.9458308,0.3498766,1.314417,-0.5501802,0.7336935,-0.1907509,0.9402166,1.226797,0.8646304
RT10,-2.07371767,-0.06379048,0.78436882,-1.51541297,-1.30990282,-1.26070747,-0.25867969,0.66742498,-1.74393535,-1.37057947,-0.37534451,-1.17803876,-1.62479348,-1.13461712,-0.28433861,-0.67833609,-0.92358641,1.67893329,0.38322762,-1.27135081,-2.35133376,-1.20866313,0.7608988,0.3667654,-1.37096921,0.09756782,0.63735708,1.47228296,-2.42486684,-1.74125877,-1.18940252,-0.92265843,-1.08033417,0.16720704,0.67810426,-1.31812085,-2.14428989,-0.96763859,0.54403689,-0.80510902,0.67309623,0.73034314,0.36319099,-1.3139253,-0.09630751,2.51210815,0.30901753,1.16890994,0.33694231,-1.8308637,-2.62973571,0.82616818,-1.64386377,-2.08809791,-0.89986573,0.30089789,1.14968855,-1.41557635,-0.72209426,0.14501931,0.80383466,0.60695515,-0.7824124,-0.61808549,0.91273511,0.52837043,-1.59033625,-3.66483903,-0.62318287,0.34189081,0.71149085,0.1217804,-0.4981679,-0.8369226,-0.8392671,-1.038065,-0.7010847,0.7517066,0.1822277,-0.1612352,-1.0472,0.699885,-0.8641983,0.887676,0.9663055,-1.25614,-1.889047,-1.662466,-0.0723951,0.4642217,-2.700385,-2.135537,-1.959863,-1.503244,-0.5273525,0.504469,-1.540745,-0.0771962,-1.169997,-0.7441719,-0.2103121
