cell,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.follicular.helper,NK.cells.resting,Monocytes,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
RT1,0.226724702,0.03912998,-0.019351444,-0.018405125,-0.042677884,0.048990014,0.044447419,-0.024876718,-0.02206601,-0.033626329,-0.044774341,-0.005308959,-0.038927937,-0.04589713
RT2,0.044297952,-0.022152535,-0.036272288,0.035151496,-0.041883175,-0.029104676,0.032459351,0.048796402,-0.041846819,-0.03283162,0.005875048,-0.036273883,-0.025469428,-0.045102421
RT3,-0.03711773,-0.03525393,-0.03662872,0.09106756,-0.02806704,-0.02946111,0.10535107,0.24225428,-0.04220325,-0.03318805,-0.04433606,-0.03663031,-0.03848966,0.1266374
RT4,-0.03737803,0.07829135,-0.03688901,-0.03171856,-0.0424999,-0.0297214,-0.04013949,-0.02489872,-0.04246355,-0.03344835,0.18345287,-0.03689061,-0.03874996,-0.04571915
RT5,-0.01633036,-0.03656386,0.13872056,-0.03033881,-0.04112016,-0.02834166,0.01408194,0.01814688,-0.0410838,-0.0204684,0.04074945,-0.03551087,-0.03737021,-0.0443394
RT6,0.015270107,0.228550792,-0.023409133,-0.021706464,-0.042423323,0.000904694,0.057999286,-0.023197448,-0.030838764,0.002766452,-0.04451978,0.014400585,-0.038673376,-0.045642569
RT7,-0.035001431,-0.004416417,0.067343357,0.016925543,-0.040123309,-0.02734481,0.052089943,0.015939842,-0.040086952,-0.018182321,-0.042219766,-0.016946998,-0.005507681,-0.043342554
RT8,0.032848536,0.069482221,-0.017196339,-0.031247214,-0.042028562,-0.029250063,0.079671078,-0.001588656,-0.041992205,0.018223046,-0.044125019,0.004745378,-0.03170194,-0.045247807
RT9,-0.03751392,-0.004158081,0.138520608,0.001772612,-0.018343047,0.021708608,0.088406159,0.033961763,-0.042599441,-0.003652009,-0.044732255,-0.037026505,-0.038885851,-0.045855043
RT10,-0.036524211,0.142390042,-0.007315902,-0.030864741,-0.041646088,-0.020951947,0.092328233,-0.013477836,-0.041609732,-0.016837252,-0.043742545,0.021933299,-0.037896141,-0.044865334
RT11,0.078050742,-0.038243097,0.040098764,0.041578375,-0.042799399,-0.0300209,-0.026396361,-0.019815801,-0.033360715,0.031912849,-0.022610016,-0.037190106,-0.039049452,-0.005041149
RT12,-0.03594009,0.12904931,-0.03545108,-0.03028062,-0.04106196,-0.02828346,0.05610876,-0.01804876,-0.02053281,0.02060231,-0.04315842,-0.02711967,-0.03731202,-0.04428121
RT13,-0.030701616,-0.037167428,0.100797495,0.028354533,-0.041723729,-0.02894523,0.118618321,0.047528435,-0.041687373,-0.032672174,-0.043820186,0.008257873,-0.037973782,-0.044942975
RT15,-0.036016213,0.176783839,0.019319727,-0.030356743,-0.04113809,-0.028359591,0.0413918,-0.009495551,-0.026225955,0.028331539,-0.043234547,-0.035528798,-0.037388143,-0.044357336
