cell,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD4.naive,T.cells.follicular.helper,T.cells.regulatory..Tregs.,NK.cells.resting,Monocytes,Macrophages.M1,Dendritic.cells.activated,Mast.cells.resting,Eosinophils,Neutrophils
RT1,-0.021519913,-0.033001681,0.020116108,-0.05299217,-0.001088421,-0.012745703,0.056843887,-0.024778383,0.071013636,-0.03875782,-0.039520809,-0.044236434,-0.04861284
RT2,-0.01996111,-0.03144288,-0.03377441,-0.05143337,-0.02689066,-0.03870138,0.08481515,-0.04457822,-0.03112291,0.02066813,-0.03796201,-0.04267764,-0.04705404
RT3,-0.018390957,-0.013384674,0.07301236,-0.049863214,-0.025320506,-0.037131225,0.008606616,0.007018339,-0.034757507,-0.008084078,-0.036391853,-0.019584681,-0.045483885
RT4,-0.021851263,-0.033333031,-0.035793126,-0.035862329,-0.028780812,-0.040591531,0.029356472,-0.005414082,-0.038217813,0.072720971,-0.039852159,-0.017716654,0.072440774
RT5,0.006295926,-0.033155065,0.083088015,-0.035786344,-0.028602846,-0.040413565,0.043546073,-0.046290407,-0.02323194,-0.016331967,-0.017300217,-0.044389819,-0.048766225
RT6,0.02204961,-0.03280081,0.04819936,-0.0527913,-0.02824859,-0.01473206,-0.01798349,-0.03987064,0.06369187,-0.02102144,-0.02067487,-0.04403556,-0.04386222
RT7,-0.021089805,-0.032571574,-0.039833718,0.007498107,-0.028019354,-0.039830073,0.087443172,0.00862812,-0.037456355,0.028662215,-0.039090701,-0.043806327,-0.031144506
RT8,-0.02108389,-0.03256566,-0.0398278,0.01324975,-0.02801344,-0.03982415,0.09862211,0.02489401,-0.03745044,0.0354741,-0.03908478,-0.03192868,-0.04817682
RT9,-0.020156035,-0.031637803,0.143793827,-0.051628292,-0.027085584,-0.038896303,0.026136675,-0.001743617,-0.036522585,0.007040126,-0.038156931,-0.042872557,-0.047248963
RT10,-0.02275501,-0.03423678,-0.03636715,0.09898263,-0.02968456,-0.04149528,0.08278339,-0.03763872,-0.03912156,0.01813802,-0.04075591,0.01541063,0.08865848
RT11,-0.014928817,-0.03454513,-0.032141622,0.01451703,-0.029992911,-0.04180363,0.071503958,0.06442167,0.006616355,-0.041324641,-0.041064258,0.000503085,0.079664011
