taxa,p_Proteobacteria,p_Bacteroidetes,p_Firmicutes,p_Cyanobacteria,f_Enterobacteriaceae,f_Yersiniaceae,f_Pectobacteriaceae,f_Chromatiaceae,f_Pasteurellaceae,f_Rhodobacteraceae,f_Bradyrhizobiaceae,f_Sphingomonadaceae,f_Desulfovibrionaceae,f_Rikenellaceae,f_Odoribacteraceae,f_Lachnospiraceae,f_Oscillospiraceae,f_Staphylococcaceae,f_Veillonellaceae,f_Bifidobacteriaceae,f_Coriobacteriaceae,g_Klebsiella,g_Sodalis,g_Cupriavidus,g_Paraburkholderia,g_Paracoccus,g_Bradyrhizobium,g_Butyricimonas,g_Anaerostipes,g_Oscillibacter,g_Staphylococcus,g_Veillonella,g_Actinomyces,g_Bifidobacterium,s_Klebsiella.pneumoniae,s_Candidatus.Sodalis.pierantonius,s_Pseudomonas.sp..NC02,s_Bacteroides.fragilis,s_Butyricimonas.faecalis,s_Lachnospiraceae.bacterium.GAM79,s_Anaerostipes.hadrus,s_Bifidobacterium.longum
RT1,0.42599613,0.23819283,0.05820016,-0.022893,0.09841938,-0.02030488,-0.02209201,-0.01979032,-0.02139399,-0.02445424,-0.02083649,-0.02097949,-0.02281357,-0.01719821,-0.01312852,0.02030791,-0.02214002,-0.01923841,-0.02132931,-0.01789165,-0.01708912,-0.02477271,-0.02245668,-0.01561081,-0.02017616,-0.02909667,-0.02077537,-0.02706655,0.01221331,-0.02195009,-0.01792399,-0.02084006,-0.01961892,-0.01615237,-0.02422398,-0.02208641,-0.02013984,0.25751306,-0.0266044,-0.01703873,0.02936268,-0.01846269
RT2,0.604714149,0.011619636,0.009447184,-0.022072546,0.307549733,-0.018999671,-0.020399219,-0.019242933,-0.016924316,-0.020152887,-0.019675854,-0.019627219,-0.022175221,-0.018322995,-0.026057035,-0.017066321,-0.022219393,-0.018663026,-0.020839298,-0.019118304,-0.020422237,-0.009810232,-0.019338437,-0.012064357,-0.017655241,-0.022823089,-0.01866254,-0.027973715,-0.020365659,-0.022179364,-0.016320041,-0.01963858,-0.015642415,-0.018100078,0.008460898,-0.015174284,-0.010912061,0.132044508,-0.028296632,-0.019161725,-0.020004366,-0.019005338
RT3,0.615972016,0.042199365,0.003525895,-0.02074486,0.543669144,-0.019370607,-0.020475649,-0.021056608,-0.02061373,-0.026617728,-0.020226552,-0.020552011,-0.021046782,-0.014812405,-0.019409839,-0.013568381,-0.019892615,-0.019330531,-0.020355813,-0.017849359,-0.01689714,0.00575764,-0.019475787,-0.015928426,-0.019152978,-0.02870537,-0.019988194,-0.010150219,-0.019147555,-0.013628673,-0.017911099,-0.019937799,-0.018489497,-0.015283588,0.005105866,-0.019190434,-0.0203082,0.160871823,-0.007136381,-0.0172168,-0.018752016,-0.016038167
RT4,0.634519361,-0.000572347,0.004460385,-0.020506442,0.567809346,-0.019299964,-0.020548861,-0.021227136,-0.020858663,-0.026989374,-0.020406318,-0.020710779,-0.020740516,-0.017443953,-0.024967932,-0.014995041,-0.021064639,-0.019516337,-0.020736979,-0.01787839,-0.019254271,0.016843567,-0.017971494,-0.016056794,-0.019303793,-0.028627541,-0.020079969,-0.025028007,-0.018783484,-0.018647883,-0.017896354,-0.020146653,-0.01903259,-0.013876694,0.020944764,-0.0171148,-0.020188884,-0.01633312,-0.024633412,-0.017432205,-0.018172979,-0.013682797
RT5,0.522155288,0.111632635,0.06728903,-0.022155048,0.389760519,-0.020660292,-0.021662229,-0.022176315,-0.021402948,-0.026755619,-0.021310299,-0.021690948,-0.022350303,-0.013833344,-0.008858528,0.001932635,-0.020638097,-0.020253021,-0.021569518,-0.018955399,-0.016761176,-0.017632825,-0.021745709,-0.016128239,-0.019872073,-0.029017153,-0.021069591,-0.022394613,-0.016627879,-0.018158407,-0.018836043,-0.020956973,-0.019856686,-0.017293738,-0.018056633,-0.021657441,-0.021278292,0.122088522,-0.021701997,-0.018126032,-0.015578513,-0.018225974
RT6,0.068069997,0.407645333,0.09096381,-0.022174866,-0.061190118,-0.021503426,-0.021803804,-0.021850679,-0.021281638,-0.027580986,-0.020969226,-0.021313184,-0.021852783,-0.017610915,-0.025952485,0.010235782,-0.021913541,-0.020116018,-0.020210259,-0.018206081,-0.019414055,-0.027417738,-0.022283453,-0.016995151,-0.020174045,-0.032460684,-0.020789064,-0.02755302,-0.019544443,-0.021973003,-0.019224759,-0.020938744,-0.020002821,-0.017104295,-0.0283163,-0.022301599,-0.021181246,0.483201957,-0.027811403,0.008954372,-0.018895947,-0.018516307
RT7,0.632199446,-0.006123063,0.000441699,-0.021694699,0.323550084,-0.016765103,-0.02011663,-0.018732845,-0.020259909,0.013812054,-0.019603542,-0.019582866,-0.021557137,-0.017739851,-0.025890988,-0.016489069,-0.02195838,-0.016456564,-0.020733307,-0.018299446,-0.020081643,-0.006388343,-0.019020142,-0.009952083,-0.015442757,0.04632612,-0.018824554,-0.026981728,-0.019999266,-0.021969336,-0.011883952,-0.019656751,-0.015168419,-0.016675243,0.017194912,-0.014658466,-0.013074461,-0.017755475,-0.026216889,-0.018843431,-0.01956015,-0.015920443
RT8,0.6501252,-0.010074024,-0.005041612,-0.019910839,0.607919013,-0.018844346,-0.019968402,-0.020531831,-0.020159148,-0.026145365,-0.019701475,-0.020029834,-0.02069189,-0.016913134,-0.02494372,-0.015759322,-0.020728563,-0.018836868,-0.020071734,-0.017296093,-0.018828027,0.055868259,-0.013944736,-0.014366061,-0.018322909,-0.019140604,-0.019136903,-0.025805181,-0.01793468,-0.020477907,-0.016680041,-0.019558847,-0.018359159,-0.010956824,0.05712612,-0.012763625,-0.019346342,-0.011960708,-0.025978854,-0.016814119,-0.017358537,-0.010739764
RT9,0.582293646,0.052385765,0.004738251,-0.022502487,0.190871563,-0.019564637,-0.021899103,-0.018738187,-0.020894557,0.012220479,-0.020780468,-0.018793271,-0.020872732,-0.01536439,-0.021941345,-0.01392978,-0.022677984,-0.01587029,-0.021423384,-0.019283166,-0.01989802,-0.014450424,-0.022485455,-0.011059429,-0.017057036,0.028295036,-0.020038912,-0.024991524,-0.02072237,-0.022740637,-0.01232927,-0.020675505,-0.018784183,-0.018456789,-0.003196284,-0.021791739,-0.014758627,0.005976215,-0.020324919,-0.018324406,-0.020361077,-0.019362049
RT10,0.512548031,0.115850142,0.057895763,-0.017409016,0.134035744,-0.020308459,-0.022261047,-0.015367467,-0.021627986,0.010652698,-0.020854361,-0.019614842,-0.021390794,-0.017277262,-0.025825329,0.013264794,-0.022888983,-0.017359411,-0.021639894,-0.020078951,-0.018374237,-0.022699453,-0.022310914,-0.014047535,-0.019570524,0.018778786,-0.020819025,-0.028761287,-0.006843449,-0.022738129,-0.015079711,-0.021194925,-0.016799086,-0.01888765,-0.017083964,-0.020687152,-0.017154317,-0.0196865,-0.028809318,-0.015260475,0.011646282,-0.019518024
RT11,0.222400709,0.38449036,0.142764001,-0.023351214,-0.052785743,-0.022554424,-0.022949624,-0.022878195,-0.0202902,-0.026584985,-0.022090837,-0.022495402,-0.02312646,-0.005102902,0.123164652,0.01856886,-0.014178513,-0.021167583,-0.022267328,-0.018695805,-0.019224299,-0.028364827,-0.023432373,-0.017963169,-0.021262426,-0.031605194,-0.021940484,0.108208559,-0.021187319,-0.013888261,-0.020260646,-0.022134962,-0.021070756,-0.017520308,-0.029328685,-0.023451718,-0.022352565,0.167400815,0.12499937,-0.019507141,-0.020817126,-0.019027717
