taxa,p_Verrucomicrobia,p_Fusobacteria,f_Xanthomonadaceae,f_Bradyrhizobiaceae,f_Ruminococcaceae,f_Eubacteriaceae,f_Staphylococcaceae,f_Erysipelotrichaceae,f_Peptoniphilaceae,f_Micrococcaceae,f_Bifidobacteriaceae,f_Coriobacteriaceae,f_Leptotrichiaceae,f_Akkermansiaceae,f_Fusobacteriaceae,g_Moraxella,g_Campylobacter,g_Faecalibacterium,g_Blautia,g_Staphylococcus,g_Bifidobacterium,g_Collinsella,g_Leptotrichia,g_Akkermansia,g_Fusobacterium,s_Moraxella.osloensis,s_Ralstonia.insidiosa,s_Campylobacter.ureolyticus,s_Bacteroides.thetaiotaomicron,s_Bacteroides.clarus,s_Bacteroides.caecimuris,s_Faecalibacterium.prausnitzii,s_Streptococcus.pyogenes,s_Micrococcus.luteus,s_Bifidobacterium.longum,s_Collinsella.aerofaciens,s_Fusobacterium.nucleatum,s_Akkermansia.muciniphila
RT1,-0.016236645,-0.020310039,-0.018521384,-0.020382957,-0.018165536,-0.021152278,-0.021807061,-0.021543213,-0.021164022,-0.015130803,-0.018058661,-0.020440966,-0.021338011,-0.013686785,-0.018934773,0.003506313,-0.024968938,-0.013392527,-0.021090531,-0.018681672,-0.014008096,-0.017616521,-0.020408165,-0.0067926,-0.016172191,0.021843864,-0.016322299,-0.02608415,-0.001489241,-0.014977789,-0.02148669,-0.003959851,0.035525133,0.002850971,-0.01549922,-0.013157483,-0.011977459,0.002795201
RT2,-0.017657005,-0.018566681,-0.013275486,-0.019928204,-0.020215939,-0.021530704,-0.005952246,-0.022084994,-0.018151296,-0.013634538,-0.018517152,-0.021744858,-0.021108966,-0.016117592,-0.015691239,-0.017033619,-0.02526165,-0.018663126,-0.021587723,0.007199795,-0.015967953,-0.021054637,-0.020984657,-0.014300529,-0.010181023,-0.010742446,-0.013850531,-0.026408077,-0.008443261,-0.016862022,-0.021239091,-0.012770306,-0.003880301,-0.010233267,-0.017485828,-0.019087156,-0.009762339,-0.010025748
RT3,-0.017788173,-0.018168391,-0.02158531,-0.021523874,0.044267763,-0.019852039,-0.024250606,-0.011065094,-0.021479996,-0.02116066,-0.018551658,0.010380054,-0.021279458,-0.016453874,-0.01697604,-0.021075536,-0.025553378,0.045298647,-0.017652067,-0.025939364,-0.01673134,0.014280188,-0.021311534,-0.014991728,-0.01476263,-0.020738792,-0.018899498,-0.026392988,0.002398052,-0.016320655,-0.019060183,0.065691457,-0.012618899,-0.023829648,-0.019155427,0.024869108,-0.012318413,-0.011721146
RT4,-0.018930845,0.015656615,-0.017142315,-0.021670148,-0.002327001,-0.021054612,-0.012310481,-0.022173077,-0.020746386,-0.019034832,-0.020122055,-0.01716793,-0.020816093,-0.017569147,0.023966362,-0.020813373,-0.025406544,0.00329896,-0.021460183,-0.010804079,-0.018026538,-0.014943769,-0.020411799,-0.016087085,0.039209043,-0.018438791,-0.018327772,-0.025594301,0.040024658,-0.013323978,-0.02091946,0.028064698,-0.011382377,-0.022298679,-0.020389295,-0.006842469,-0.01355456,-0.012733999
RT5,0.065466717,-0.019877442,-0.019190642,-0.021558721,0.007123686,-0.019208511,-0.022778233,-0.02209257,-0.022349714,-0.020355584,-0.019669181,-0.019211137,-0.021610526,0.106869643,-0.018729052,-0.02180899,-0.026224168,0.015789424,-0.017301508,-0.023575375,-0.017504642,-0.017578613,-0.021346735,0.140355591,-0.016305794,-0.021074002,-0.019737007,-0.02726419,0.043714271,-0.008118892,-0.022066992,0.036173775,-0.013242918,-0.022793575,-0.019457217,-0.013706242,-0.013857164,0.205162674
RT6,-0.017680605,-0.020347132,-0.013194233,-0.015416869,-0.016289955,-0.020013947,-0.018291469,-0.021656081,-0.02127689,-0.014510219,-0.015800067,-0.0185081,-0.021577985,-0.016447126,-0.018938926,0.012582013,-0.025251216,-0.014691862,-0.019429805,-0.015322298,-0.011572774,-0.015366548,-0.02124625,-0.01498978,-0.016515367,0.044157388,-0.012959286,-0.026001267,-0.01014401,-0.016455213,-0.02035413,-0.004635467,-0.011450278,-0.005642668,-0.016803598,-0.007162604,-0.012064524,-0.011726498
RT7,-0.017905006,-0.019283618,-0.012405925,-0.019717761,-0.020471483,-0.02157695,-0.01795158,-0.021386361,-0.021565777,-0.012004456,-0.018237271,-0.021791104,-0.020282685,-0.016559408,-0.018382983,-0.018639341,-0.025347259,-0.019464658,-0.020957379,-0.013869677,-0.015456299,-0.021100883,-0.018785238,-0.015102062,-0.015388526,-0.015033449,-0.011288292,-0.026454323,-0.005939739,-0.015467346,-0.022169119,-0.014583337,-0.011444855,-0.000109446,-0.017857937,-0.019133402,-0.009903154,-0.011838779
RT8,-0.016501435,-0.019280332,-0.011086606,-0.018300295,-0.018403739,-0.021259668,-0.004642894,-0.022029382,-0.021219388,-0.018426743,-0.018068263,-0.021043112,-0.021288203,-0.014197905,-0.017432142,-0.014214474,-0.025343475,-0.016342812,-0.020943947,0.005878418,-0.015587706,-0.019889257,-0.020778187,-0.011286494,-0.014112408,-0.004404534,-0.014410875,-0.025661473,-0.007469423,-0.01691414,-0.021775549,-0.007423574,-0.010420265,-0.018358102,-0.018506009,-0.016346533,-0.00745669,-0.0030936
RT9,-0.017127901,-0.019049308,-0.012543138,-0.017752695,-0.019121415,-0.021107277,-0.019213963,-0.021661567,-0.020082456,-0.012774465,-0.018617935,-0.019988275,-0.020207796,-0.015689601,-0.017883328,-0.016532449,-0.025215938,-0.017045191,-0.021164296,-0.016708044,-0.016189438,-0.018194562,-0.019257299,-0.01390077,-0.015091667,-0.008203489,-0.007739645,-0.02598465,-0.003959474,-0.016438595,-0.021699446,-0.008932306,-0.006663274,0.000518325,-0.017531327,-0.012191214,-0.013750034,-0.009422949
RT10,-0.017733548,-0.020472168,-0.010537131,-0.014795032,-0.019925759,-0.021405491,-0.022034616,-0.021959781,-0.021300281,-0.014388835,-0.018622385,-0.021339337,-0.021411847,-0.016387949,-0.01923439,-0.015688323,-0.024011523,-0.018291196,-0.02146251,-0.021475787,-0.015973454,-0.020428297,-0.020990157,-0.014930603,-0.017082004,-0.005018668,-0.011121558,-0.02364434,-0.008764701,-0.01673681,-0.02199766,-0.011773355,-0.005539225,-0.004534399,-0.0191274,-0.017641811,-0.012728117,-0.011667321
