,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT15,RT16,RT17,RT18,RT19,RT20,RT21,RT22,RT23,RT24,RT25,RT26,RT27,RT28,RT29,RT30,RT31,RT32,RT33,RT34,RT35,RT36,RT37,RT38,RT39,RT40
A1CF,1243.139,1563.234,112.331,2853.892,2753.408,1352.858,1167.009,1510.094,2625.566,715.003,3804.869,2245.422,1813.096,2370.084,3144.417,1611.775,1551.728,1215.01,4123.027,2082.07,1556.315,916.603,320.783,184.103,894.835,521.474,278.529,1412.307,119.714,245.536,721.963,3772.883,940.029,2331.554,91,74,1298.489,625.195,114.022
A2M,4491.284,1798.229,541.989,4503.915,4794.654,2537.687,5428.463,5048.998,2082.991,1607.99,9881.835,3315.621,1635.991,2483.997,2163.998,571,2043.995,3198.992,2908.987,2669.995,8641.996,6229.242,1162,3141.862,1722.684,11189.286,1208,2261.239,676.992,2040.29,1758.496,1969.927,1500.217,4650.586,174.986,109,8467.428,333,1020.095
A4GALT,155.355,64.385,27.605,63.523,87.996,135.72,129.045,150.049,64.497,55.024,97,85.054,34.124,80.069,68.307,46.506,44.674,205.926,89.388,90.747,111.863,141.229,73.633,102.955,64.965,551.722,46.006,73.36,32.089,76.732,95.258,53.016,91.287,70.85,4,8.501,151.376,17.166,126.666
AAAS,304,267.001,145,328,367,231,236,266,186,139,494.001,261.001,215,232,204,245,120.001,498,370,338,408,357,181,145,256,493,70.001,260,92,141,229.001,376,178.001,373,9,28,283,127,82
AACS,525,689,86,854,774,462,674,674,409,379.999,1935.998,547,450.001,634.093,671,362,305.001,708.001,628.001,767.001,1014.001,521,185.999,186,378,528.999,116.001,619,230,193,669,776,372.999,439.999,36,46,488.017,316,233
AAGAB,735,661,396.999,1615.683,1172.248,782.999,1041,928.999,717,512,3254.001,1268.001,952,1195,1218.613,663.001,585.999,1102,1248,1058,1291,634,191,225.001,418.999,657,185,965.999,163,206,371,1293,676,798,64,24,800.001,438.001,128
AAK1,2611.152,2118.109,2775.68,3716.551,3925.092,2284.699,2545.227,1983.038,2275.667,1336.863,5806.963,4442.321,3110.366,3284.124,2647.742,2411.804,1372.308,1691.557,3302.897,1588.623,1657.855,2074.204,1163.155,1095.342,2106.98,2652.532,654.174,1648.272,627.387,916.599,1785.567,3326.823,2070.405,2158.58,53.73,278.906,2134.432,1978.246,468.65
AAMP,874,797.999,324,1111,1021,495,745,818,520,439,1576.999,785,449,737,597,393,412.999,848.752,757,971,1263,710.001,253,268,406,858,121,776,252,270,443,1096,627.001,628.001,39,66,791,333,235
AAR2,443.999,359.001,258.001,334,390.001,332,347,470,205,236,793.999,366,254.319,294,272,578.001,203,509,386,377,562,334,147,151,247,572.999,100,340,122.001,122,251,468,234,273,18,29,504,112,140
AARS,937.061,799,280,1709,991,812,1050.99,961,515,535,3823.012,829,623,873.199,1554,1440,310,2628,742,812,1444,1214,516,521,658,1379,212,678,341,409,541,1078,501,791,44,72,991,350,420
AARS2,1074.185,965.268,580.189,1057.832,1284.116,757.193,695.315,668.004,676.224,534.754,719.171,742.883,891.091,543.415,596.218,935.125,328.19,601.411,1190.342,648.294,594.765,1023.652,590.371,496.823,817.21,1418.246,276.682,645.77,450.482,561.008,743.081,977.977,566.237,691.484,8.935,174.209,755.195,564.761,460.258
AARSD1,171.234,136.031,71,170.421,171.069,98.149,126.29,122.408,79.058,80.057,201.366,119.528,92.659,102.857,77.594,175,51,212.395,122.339,141.791,166.457,163.898,81.691,70.658,107.05,267.913,23,125.97,55.109,74.539,100.343,164.53,78.162,125.138,8,15.552,156,70.925,86.954
AASDH,479.421,401.012,264.009,323.061,561.044,397.098,388.076,333,312.027,254.005,454.004,367.027,333.991,284.432,373.001,229.001,239,428.04,469.821,276,362.998,275.992,137,76,202,371.033,43.006,181.272,49,57.001,124.011,399.283,134,438.045,3,13,303.025,65.001,32
AASDHPPT,520.003,361.002,357.005,350,560.014,363,382,518,276.005,256.029,761.009,365.024,303.005,325.045,323.003,454.014,329.008,672,458.016,455,560.006,415,164.005,133.003,182.013,589.005,54,253,72.048,102,146.004,451.003,162,570.1,27,7,509.008,70,32.006
AASS,1246.324,1221.571,617.888,1000.314,1245.419,982.076,1089.369,877.263,805.359,860.27,806.591,1006.679,1062.18,774.371,739.135,1083.027,674.497,694.845,1078.32,716.318,681.716,722.616,503.131,488.866,757.498,1538.424,232.403,581.86,284.246,529.934,617.102,942.311,554.901,969.666,30.175,120.817,799.847,358.659,262.477
AATF,348,240,236,289.167,284,311,320,336,192.001,188,577,354,242,245,290,278,111,622.004,191,285,385,249,98,114,126,372.999,61,194,102,107,185,329,192,172.999,7,23,299,126,189
AATK,518.001,661.999,1766,68,429.001,840.999,161,307.999,711.001,398.999,1747,353.001,250.001,353.001,466,505,208,461.001,438,505.998,314.001,929.999,409.999,390.999,430,1733.543,749,936.999,199,736,2795,1336,107.999,633.001,4,549,269.999,1674.999,337
ABAT,338,372,224,418.031,649,256,214.001,297,364,174,1425,500.948,268,541.999,374,251,164,373,581,312.999,365,207,122,69,204,343,71,445,72,113,231,798.999,402.001,417,21,21,310,131,79
ABCA1,1716,1480,1936.999,720.999,2104.521,1843,2258,1973,1646,994,1807.998,2135.927,1482,1947,593,276.999,1578.001,701.001,2510,1008.999,1570,1132.001,693,725.001,830.998,3165,315.001,975.999,367.999,799.999,1087.999,1976.456,1043,2504.999,13,102,2240.999,365,1225.002
