,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT15,RT16,RT17,RT18,RT19,RT20,RT21,RT22,RT23,RT24,RT25,RT26,RT27,RT28,RT29,RT30,RT31,RT32,RT33,RT34,RT35,RT36,RT37,RT38,RT39,RT40
A1CF,556.079,1779.791,1822.71,735.31,1257.89,1338.387,465.628,460.755,1374.324,67.532,183.021,212.026,478.428,565.003,748.85,2334.607,660.476,2188.159,184.923,297.071,1069.047,1159.37,81.03,609.557,1339.966,705.481,392.18,823.977,193.005,328.673,855.181,610.056,206.949,1703.335,99,232,2665.693,2210.124,92
A2M,2471.279,4170.809,1154.859,8451.898,9468.97,4356.741,2581.146,3032.449,5222.472,3852.57,2485.111,4970.163,16350.909,862.92,5504.168,1923.63,1283.159,2618.929,5302.711,16986.891,10409.225,1362.996,700,1999.962,3960.993,1047.984,2955.994,1717.001,1449,529.999,3822.736,10828.372,1625,5156.994,268,1850,6934.976,2260,416.885
A4GALT,53.335,70.577,48.544,426.054,109.759,177.604,186.789,288.425,100.794,581.684,193.801,176.23,1364.126,51.169,474.143,105.014,96.952,165.451,359.145,778.54,210.163,38.265,29.335,79.837,86.121,210.217,172.887,87.416,109.025,217.426,102.317,339.999,90.05,205.481,1,101.91,70.748,105.226,17
AAAS,284,464,163,256,327.999,500.878,395,348,394.001,194.999,351,390,621.999,171,560,452,293,756,293.999,408.002,337,225,80,351,510.032,235,372,189,179,107,408,681.999,462.999,314,85,263,579.999,705.999,48
AACS,601,962,438,285.001,498.012,360.999,781.972,738,471.999,185,484,819.001,1060.001,287,728,704,610,778,275.001,444,576,346,65,730.999,571.999,286.001,435,333,200.001,225,733,698.011,1343,410,98,188,679.999,1564.999,59
AAGAB,824,1212.999,801.999,492.002,958.88,924,597.001,586.08,873,222.001,685.001,803,1114.001,343,1313,891,884.001,1655.999,461,508,1037,409,118,433.001,1319.999,534.001,820,841,437,239,1100,1759,1008.001,1061.001,263.71,332.001,857,1470.973,124
AAK1,2081.149,1955.571,2915.77,1821.256,2849.029,3223.655,2803.146,3628.01,2477.663,1378.54,2023.823,2379.211,3582.996,1053.195,1917.587,2245.836,2123.151,3211.087,1732.314,1356.028,1428.819,1049.877,567.327,1232.172,1978.933,1055.418,1615.617,1517.298,711.642,732.142,1675.415,1625.465,1338.174,2738.306,107.249,818.592,2160.861,1136.95,150.969
AAMP,1148,1285.002,573.001,582,632,1493.001,990.999,1206,797,417,653,1151,1061,365,1005.104,763,697,1208.001,428,782.001,818,698,76,633,1320.001,451,528,649,572,309,1270,852.025,1070.001,565,210,377,971,1311.999,95
AAR2,475.999,873,212,665,637,1067,791,719,403,290,456,609,836.556,361.999,723,912.001,312.999,803,214,853,457.378,604.949,75,412,1299,465.999,757.001,382.999,274,173,1286.98,936.999,688.054,334.999,72,189,866.001,1198,48.999
AARS,1177.35,2310.18,518,1609,1516,2930,2456.909,1721,1297,712,1805.002,2373.993,2425,928,2851,2412,1093,3591,1103,2137.029,1243,1160,224,1763,2621,1164,1917,1412.772,653,626,1988.003,3316.103,1278,961,202,1045,2487.002,2389,239
AARS2,1108.523,828.469,640.397,616.486,758.045,1528.415,1568.807,1853.643,869.022,593.408,814.706,751.984,1013.082,452.025,777.651,1752.281,1083.421,1081.349,763.576,520.872,442.422,372.814,214.886,955.749,1492.277,408.227,1454.599,296.615,463.7,405.296,823.454,732.192,907.108,467.554,66.018,601.71,578.212,944.116,129.1
AARSD1,93.212,132.778,73.591,123.231,163.224,181,177.964,209.803,172.402,92.845,150.222,240.015,235.304,97.404,256,196.668,175.463,372.727,79.085,168,138.311,100.716,39,135.994,210.884,79.915,131.575,67.194,60.397,24.814,254.059,264.095,245.053,141.588,18,139.586,198.167,233.287,19.633
AASDH,296.018,695.468,260.03,253.052,448.008,562.972,410.165,415.747,433.012,212,323,451.485,551.048,177.001,315.238,326.426,528.027,684.002,207.001,143.101,225,180.642,44.999,284.995,511.366,163.001,257.999,109,52.001,56.999,434.999,317.001,338.023,417.274,23,133.001,433.001,266.024,21
AASDHPPT,608.971,731.009,188.002,631.008,561.017,834.007,692.005,501.01,493.015,278.001,596.011,545.089,961.009,205.002,1018.016,471.015,515.003,877.014,296.004,550,402,449.003,108,364,962.018,382,429,369,148.042,107,829,888,658,639.036,132,182,886.005,1121,65
AASS,770.1,1176.553,786.552,773.098,1037.872,1062.341,1680.151,1883.912,807.904,703.024,804.212,1046.79,1674.865,372.594,807.49,1792.107,1379.496,1316.64,888.673,797.012,532.915,563.483,304.748,960.191,1142.533,525.451,893.461,426.761,346.075,336.293,1278.871,822.105,579.624,987.534,10.311,605.504,913.179,708.012,84.873
AATF,357,376,210.996,371,345.018,481,432,383.009,316.007,196,309.01,469,456,224.001,663,684,315,952.999,145,497,332,306,90,315,625.999,305,376,213,197,157.999,632,653.046,589,289,67,289.001,432.999,1587,72
AATK,73,206,773,169.001,192,165.999,203,244.999,865.008,317,391.999,243.001,269.999,211.999,662,421,631,534.001,392,117,352,210,483,146,151,583.001,328.001,638.001,190,742.999,641,145,68,331.999,1,71,285,630.135,92
ABAT,55,463,233,180.001,319,147.771,336,181,195,61,373,177,176,104,289.001,258,89,930.001,74,283,223,298,77.001,156,816.799,397,625,175,35,111,654.262,163,71,378,7,28,442,1001,15
ABCA1,1361,2056.996,1229.001,2693,2250.927,1358.999,2073,1661,1254,1814,3552.001,2451,7503.086,800,3109.998,424.001,756.001,683,1873.982,1836,1471.002,494,334,609,1490.001,786.001,943.001,587,404,833,687,3144.899,680.086,2402,48,806.999,2778,927.002,284.999
ABCA10,108,264,381.001,96,390.059,169,223.885,182,386.999,47,32,202.902,155.997,116,69.171,109.001,177,104,283.758,175,114.001,30.057,79,92,104,104,131,163.005,24,79,251.513,116,66,413.061,5,16,216.532,64.002,9
ABCA11P,174.402,389.577,211.999,190,226.855,486.307,296.07,366.824,301.756,121.326,191.633,326.509,372.906,124.406,165.064,139.999,315.377,395.557,144.826,50,107.964,131.943,49.32,144.267,341.308,117.561,282.968,62.729,74,45,347.252,151.296,177.916,314.329,14,75.332,197.776,195.912,12
ABCA13,258.076,333.596,94.136,83.564,251.653,135.468,162.533,298.672,165.103,78.233,139.046,151.951,124.332,71.247,119.447,275.415,977.828,164.986,124.524,159.85,78.506,60.381,43.193,221.724,276.33,168.216,102.704,52.137,50.299,42.328,172.257,142.014,418.85,131.374,18,111.354,170.255,48.123,26.557
ABCA2,2166.216,1779.002,1558.015,1307,1137,1488,2761,2103,1532.174,834.999,2348,2672,2675.203,1736,1167,1319.999,1556.999,880.999,1417,1309.999,1212.001,2860,636,4412.003,1585.999,975.999,936,1003.001,957,1095.16,2919.999,535,2056.032,901.001,37,2043.001,1511,2845.022,261
ABCA3,1094.009,329,101,298,120,76.007,91,548.385,76,35,61,171,97,338,185,57,107,45,481,227,163,13,49,1373.404,28,774.166,107,82,148,19,35,49,55,167,10,40,85,29,30
ABCA5,673.106,1980.998,3279.556,537.646,3361.338,744.023,1862.649,641.558,2537.34,460.054,251.977,1091.132,1087.994,1055.513,435.986,894.597,1268.993,762.851,408.104,284.279,1118.419,336.077,319.505,769.363,995.99,988.894,657.4,1633.372,144.016,497.044,1315.187,854.008,425.696,3444.441,12,91.085,2629.766,471.219,77.03
ABCA6,112.128,101.63,129.066,46.975,335.277,129.289,90.434,228.549,222.035,91.623,17.438,154.966,325.874,62.257,157.561,125.952,123.06,63.959,247.273,250.66,77.016,19.929,38.965,49.946,57.421,63.519,159.096,85.241,19.013,52.456,111.428,139.441,57.38,565.748,0,18.301,149.48,49.155,9
ABCA7,1091.001,776.999,656,243,502,680.696,2065,1360.999,706.001,646.001,1124.962,430,817.001,536,926.003,497,621,719.003,892.029,511,447,425.001,666.998,1887.998,707.001,799.999,1111,298.999,653,930.547,828.999,633,681,519,60,356,1188.001,336.999,331
ABCA8,7.997,25,95.487,15.754,565.006,16.908,19.165,10.247,225,18.783,19.026,71.764,35.937,89.998,89,78.007,93,28.024,148.06,57,225,6.992,31,9.999,16,12,18.001,22.999,48.001,45.998,97,53,59,1492.999,6,5.001,71,25,8
ABCA9,149.71,198.222,172.58,134.99,266.43,203.02,149.094,293.696,220.742,74.725,127.642,160.268,290.221,52.898,117.551,235.678,184.656,259.665,198.563,110.687,42.117,26.265,26.68,52.545,75.785,41.411,98.025,81.609,17.486,26.019,76.289,63.429,38.378,255.796,1,14.676,109.253,39.094,10.001
ABCB1,106,38,1963.98,127,471,1500.001,127,276.001,878.146,53,531,538,1513,99,98,562,773,1548.88,893.943,941,427,643,123,44,162,959.701,2030.38,1039.955,133,388,219,4971.896,802,2439.998,6,438,609,163.091,127.032
ABCB10,1111.976,1285,401,747,762,906,925,995.005,850.198,365,340.001,904,959,382,2295.936,1002,777,1302,373,611,703,493,108,483.999,1042.999,667.001,585,463,329,204,1416,992.438,753,713.001,30,274,1479,712.999,83
ABCB6,148,230,91,134,105,358.995,282,536,262,142,253,115,252,82,383,149,180,160,130,186,101,188,18,218,129,167,134,93,124,93,262,168,252,57,4,135,195,230,41
ABCB7,526.999,569,200,440,468,647.999,473,553,271,198.999,255,485,772.999,217,934.001,450,421,1123.356,281.241,302,362,270,66,350,695,291,213,195,171.001,77,949.001,1056.001,434.005,543,38,223.999,497,1000.001,63
ABCB8,844.001,431.001,452.001,385,540,526.001,961,1090,559.999,492,413,611.999,736.001,318,749,400.013,559,717.001,643.876,495.999,568,324,117,736,701,292,609,430,513,252,389.002,1036.001,875,298,31,358,917,774,102
ABCB9,62.097,77.793,167.749,158.837,153.247,244.887,341.941,285.659,139.913,97.911,297.276,95.778,227.125,79.611,158.601,170.771,125.786,232.669,108.364,177.295,97.469,61.378,33.038,94.033,203.725,166.584,106.291,83.248,33.904,73.58,158.332,247.474,135.69,102.826,12.225,80.776,148.911,283.529,13.001
ABCC1,1583.312,2777.962,633.041,1896.32,2044.245,2805.1,4447.651,3003.854,1384.005,1921.266,1671.002,1981.612,3417.218,1764.689,2490.318,2657.837,1848.333,1953.729,1196.436,3044.622,1072.999,1061.048,413.075,2399.865,2314.432,1140.751,1988.335,818.999,877.006,1085.001,1638.38,3117.99,2088.619,843.159,115,958.101,2741.97,2307.2,406.985
