cell,T.cells.CD8,NK.cells.activated,Macrophages.M0,Macrophages.M1,Mast.cells.activated,T.cells.CD4.memory.activated
RT10,-0.030864741,-0.042878151,0.002079926,-0.041609732,0.021933299,-0.040898754
RT11,0.041578375,0.009816414,0.047384761,-0.033360715,-0.037190106,-0.042052065
RT12,-0.030280616,-0.042294026,0.051090411,-0.020532807,-0.027119673,-0.04031463
RT13,0.028354533,-0.042955792,-0.049536317,-0.041687373,0.008257873,-0.040976396
RT15,-0.030356743,-0.042370153,-0.009568598,-0.026225955,-0.035528798,-0.040390757
RT17,0.033825578,-0.044729604,0.04541355,-0.043461185,0.065636542,-0.042750207
RT18,-0.03157651,-0.04358992,-0.036891082,-0.042321501,0.01128942,-0.041610524
RT19,0.055864901,-0.044821104,0.08576896,-0.043552685,-0.037979748,-0.042841707
RT20,0.042773269,-0.044197466,0.019308259,-0.042929047,-0.037356111,-0.04221807
RT21,0.001643843,-0.039078527,-0.016484378,-0.040346946,0.026650074,-0.041057923
RT22,0.130252509,-0.040351012,0.034965314,0.007993963,-0.047192368,-0.042330409
RT24,-0.051807529,-0.039794119,0.027324571,-0.034253381,-0.029183417,-0.041773516
RT25,-0.052236767,-0.040223357,0.022724472,-0.039624538,-0.038718824,-0.042202754
RT26,0.080168666,-0.039957505,-0.017816681,-0.041225924,-0.04679886,-0.041936901
RT27,-0.014331103,-0.039949022,0.036967885,-0.039662732,-0.024885722,-0.041928418
RT28,-0.035695431,-0.040692463,0.04493834,-0.041960882,0.082527875,-0.04267186
RT29,0.077290253,-0.040415746,0.044740239,-0.041684165,-0.047257102,-0.042395143
RT30,-0.028850756,-0.039005481,0.004036695,-0.040273901,-0.043928865,-0.040984878
RT31,-0.026970185,-0.037041742,0.031506327,-0.039722393,-0.04529533,-0.040433371
RT32,-0.010863432,-0.039919437,0.024193352,-0.041187856,-0.038196384,-0.041898834
RT33,0.078458354,-0.039514321,-0.03044785,-0.04078274,-0.046355677,-0.041493718
RT34,-0.042218831,-0.040079036,0.00512919,-0.041347455,-0.029736671,-0.042058432
RT35,-0.011530261,-0.039251264,-0.00589542,-0.036956474,-0.019662907,-0.04123066
RT39,-0.024505014,-0.040258032,-0.03199124,-0.041526451,-0.008648988,-0.042237428
RT5,-0.03033881,-0.042352221,0.032091245,-0.041083802,-0.035510865,-0.040372824
RT6,-0.021706464,-0.043655386,-0.001084185,-0.030838764,0.014400585,-0.041675989
RT7,0.016925543,-0.041355371,-0.043847152,-0.040086952,-0.016946998,-0.039375975
RT9,0.001772612,-0.043867861,-0.014233264,-0.042599441,-0.037026505,-0.041888464
