taxa,f_Enterobacteriaceae,f_Xanthomonadaceae,f_Pasteurellaceae,f_Oscillospiraceae,f_Bifidobacteriaceae,f_Coriobacteriaceae,g_Bacteroides,g_Butyricimonas,g_Bifidobacterium,s_Paracoccus.sp..Arc7.R13,s_Bacteroides.dorei,s_Bacteroides.ovatus,s_Butyricimonas.faecalis,s_Bifidobacterium.longum
RT10,0.134035744,-0.01873663,-0.021627986,-0.022888983,-0.020078951,-0.018374237,0.104855212,-0.028761287,-0.01888765,0.059009822,0.081817987,-0.01146055,-0.028809318,-0.019518024
RT11,-0.052785743,-0.02237113,-0.0202902,-0.014178513,-0.018695805,-0.019224299,0.266548322,0.108208559,-0.017520308,-0.042330411,-0.005358599,-0.018305684,0.12499937,-0.019027717
RT12,0.121849822,-0.017862603,-0.020451701,-0.021828495,-0.0185947,-0.019531396,0.045101003,-0.027564763,-0.017327952,0.019447036,-0.021006864,-0.025358527,-0.027792807,-0.018225079
RT13,0.242848998,-0.019007494,-0.019959107,-0.021892977,-0.01792021,-0.019744812,-0.001016515,-0.027919226,-0.017139792,-0.036319827,-0.021179691,-0.024212093,-0.028242144,-0.01697261
RT15,0.141871862,-0.02130235,-0.021688869,-0.020919621,-0.018722528,-0.018297977,0.319453335,-0.010553095,-0.017227131,-0.040947907,0.020660949,0.01822583,-0.002753517,-0.017685171
RT17,0.283479998,-0.019426731,-0.016453037,-0.02260517,-0.018759361,-0.020493301,0.085837047,-0.028166788,-0.017504508,-0.036133655,-0.016580853,-0.014375116,-0.028298086,-0.018229489
RT18,0.170992923,-0.019088208,-0.020830143,-0.019469927,-0.01909354,-0.020295593,0.09406657,-0.026697604,-0.018023247,0.007247434,-0.020655254,0.007726862,-0.026515705,-0.018961102
RT19,0.243171503,-0.011693262,-0.021239073,-0.022587484,-0.018875996,-0.021064253,0.076290301,-0.023705995,-0.017261325,0.189669439,-0.021157907,-0.019712453,-0.019082314,-0.018011495
RT20,0.586446149,-0.020419271,-0.020468889,-0.021096586,-0.017901857,-0.019010299,0.305595231,-0.026811426,-0.015406629,-0.026792875,0.04397604,-0.023303105,-0.027134343,-0.015976333
RT21,0.221846172,-0.02057991,-0.021915846,-0.021685913,-0.024187173,-0.019948659,0.205309431,-0.015740371,-0.024963833,0.001861294,0.014547987,0.001806796,-0.014770775,-0.025392995
RT22,0.198740233,-0.020774337,-0.02093308,-0.021711328,-0.024593543,-0.019896001,0.016752013,-0.015119639,-0.025878363,0.004137807,-0.023038432,-0.014540253,-0.013407061,-0.024871624
RT24,0.202818013,-0.017027504,-0.021822256,-0.022285617,-0.024753717,-0.024135954,0.166120121,-0.016633175,-0.026174133,0.011537134,-0.023372711,-0.015554132,-0.016310257,-0.025295163
RT25,0.235283474,-0.016281857,-0.021259397,-0.020943752,-0.024044841,-0.02323067,0.283796081,-0.014806605,-0.024797923,0.001191236,-0.016238395,-0.015745506,-0.013421413,-0.024454699
RT26,0.052442261,-0.021053171,-0.021114051,-0.020761642,-0.02393628,-0.022651488,0.311005889,-0.007977184,-0.025071885,0.002056444,-0.01799003,-0.015475208,-0.004762943,-0.024189623
RT27,0.16410845,-0.021773825,-0.021568203,-0.021138318,-0.023154777,-0.019900857,0.291048619,-0.014797251,-0.023574654,0.002303346,0.070046231,-0.006097331,-0.013956336,-0.02315015
RT28,0.145146034,-0.021067282,-0.021614591,-0.020116022,-0.024884362,-0.022498813,0.154980136,-0.014587389,-0.025949073,0.000928801,-0.021103506,-0.005128519,-0.013406851,-0.025055782
RT29,0.19487011,-0.020712912,-0.022065359,-0.020440773,-0.024726068,-0.018733512,0.358766878,-0.015006368,-0.025856568,0.000624187,0.054508638,0.022303272,-0.014078497,-0.025209717
RT30,0.274769624,-0.017214686,-0.020800845,-0.017667076,0.010872291,-0.009228989,0.114530078,-0.016508786,0.02799054,0.001989437,-0.018328421,0.004470856,-0.01601657,0.007481959
RT31,0.25643,-0.018241314,-0.021001865,-0.020969172,-0.005703972,0.004854498,0.145987078,-0.010745072,0.002719327,0.019820545,0.01240473,-0.003737512,-0.006731243,0.003578158
RT32,0.245643819,-0.01893611,-0.008516338,-0.021258551,-0.001119564,-0.010532256,-0.006187503,-0.015481608,0.015921662,0.006455753,-0.023148135,-0.018430105,-0.012793197,0.015899294
RT33,0.089395951,-0.021670617,-0.021721027,-0.021021358,-0.024986709,-0.023624551,0.253725627,-0.016422069,-0.026154274,0.000651764,0.088750731,-0.008183362,-0.016066153,-0.025220946
RT34,0.33074498,-0.016904826,-0.020108021,-0.021256862,-0.018512831,-0.023237322,-0.005325772,-0.013950761,-0.024991941,0.025219069,-0.017375376,-0.007837876,-0.011006404,-0.024468716
RT35,0.32931363,-0.017552873,-0.019811992,-0.021417577,-0.022871671,-0.023041926,0.02276668,-0.015281927,-0.024189846,0.006046878,-0.013684327,-0.015940618,-0.01433541,-0.022521122
RT39,0.299989876,-0.019375967,-0.021781164,-0.020783778,-0.023430631,-0.022342118,0.104269256,-0.007814213,-0.023782152,0.00600429,-0.020498207,-0.018045879,-0.000864877,-0.022410841
RT5,0.389760519,-0.021670412,-0.021402948,-0.020638097,-0.018955399,-0.016761176,0.322083243,-0.022394613,-0.017293738,-0.039199684,-0.018597922,-0.012576247,-0.021701997,-0.018225974
