gene,ANPEP,CACNA2D3,GAS2L2,HRASLS2,ING4,LOC100130370,LOC101928333,LOC101928383,LOC102724322,LOC105379407,LOC107984251,LOC112268238,MGAT4C,OPN3,PCDHA11,PRKD3,RAB6A,SNCAIP,TMEM179B,TUSC2,UNC93B1
RT10,2.05666889,-1.46460681,-3.44303516,-3.90576948,0.33360333,0.9584096,-3.21557472,-2.68681881,-1.60123997,-1.87815361,-1.72520033,0.28329771,-3.58533811,-0.2666208,-2.99666927,1.69649321,2.13856943,-0.72915007,0.11847584,0.07046682,1.35682407
RT11,0.73604152,-1.48834296,-3.57597061,-5.01953418,0.2123377,-0.68308262,-5.37079329,-2.75912963,-1.96216548,-3.47742612,-2.23762774,0.89184976,-2.7596468,-0.63822182,-3.94599664,1.75725973,2.39217262,-0.03242374,0.75353387,0.51804527,1.40519889
RT12,-0.632232128,-2.548605063,-3.794665523,-4.545081917,0.26628698,-0.883498273,-1.859786764,-2.377050691,-1.766500533,-0.675696155,-1.889490135,-0.283996,-5.366002987,0.278546772,0.413195287,2.006334184,2.258457307,-0.178347611,0.124989925,0.413109085,1.46188472
RT13,0.8547045,-2.7665775,-5.4759304,-3.9237617,0.4775909,0.1495567,-3.4277229,-2.1939854,-1.5061459,-0.5021886,-1.5211473,0.403653,-3.9344639,0.153888,-5.7380928,1.793574,2.4078456,0.9355364,0.9344868,0.53972,1.6917261
RT15,-0.66150207,-2.77378095,-3.69133735,-1.66916502,0.43556603,0.96984977,-2.3081062,-2.44961318,-2.01167082,1.04193612,-2.9360556,0.69965351,-4.56952763,0.56354626,-4.64664692,1.14361856,2.30690314,-0.08588433,0.79982017,0.56410197,1.81638505
RT17,0.4535139,-3.4819146,-3.5015294,-1.8540505,0.4416372,0.9473852,-2.2360813,-3.4384602,-1.8960846,0.8311216,-1.546343,1.8181298,-2.7941647,0.7271843,-4.7108714,1.4723625,2.425248,-1.6581231,1.3223026,0.7764288,1.7848738
RT18,2.96768463,-3.01825758,-3.97218162,-1.9925689,0.2515466,0.95849021,-3.39988069,-2.17451139,-1.559669,-0.48361305,-2.07815149,0.72800516,-3.56684882,0.38464268,-3.46038519,1.30562747,2.45948611,-1.95145621,0.6795028,0.30577657,1.52217159
RT19,2.5661509,-3.283864,-2.9049824,-3.1293057,0.4223894,1.1014049,-3.6097765,-3.4613096,-2.2883341,0.6970383,-2.258219,1.1627264,-3.03736,0.5895521,-5.7320941,1.3037258,3.1557601,-2.3759118,1.3277831,0.8041304,1.7059003
RT20,1.07804122,-1.68118293,-4.83233155,-2.58701567,0.29646159,0.96719705,-4.39356202,-2.82335223,-1.43514648,-0.6394425,-1.47251616,0.67737389,-3.29228931,0.26096677,-5.09449394,1.03281334,2.22905441,-0.23138931,0.1985204,0.35297058,2.04764285
RT21,0.62776161,-2.61927906,-5.40302464,-3.14853085,0.03887865,0.37905325,-2.83601256,-2.00035791,-1.80231121,-1.7638995,-2.1235526,0.4538505,-4.52533448,0.31619506,-4.21938499,1.74695806,2.37633233,-0.58498764,0.77743249,0.23918156,1.30430518
RT22,0.9542838,-2.2508867,-4.7092099,-2.3005654,0.1944095,0.0993012,-3.8952165,-2.2073297,-1.7551236,0.2194102,-2.1800434,-0.2446272,-3.8158847,0.425847,-3.0607531,1.5264362,2.3407607,-0.2895205,0.956919,0.6137832,1.6524011
RT24,0.79936668,-0.88758195,-3.42001311,-3.36274389,0.46987762,0.98901564,-2.60601967,-2.09678792,-1.35941144,-1.37849143,-1.23915336,0.79907882,-3.92811719,0.20100277,-2.45946727,1.62378152,1.29469232,-1.05871188,-0.23295996,-0.13019482,1.75964218
RT25,-0.67156951,-4.74114594,-3.2482254,-4.57725055,0.32250022,2.17080809,-3.82052632,-1.3302931,-1.40331842,-1.12214633,-3.14680719,0.96187485,-5.14262384,-0.02137508,-2.06977227,1.57768292,1.9934414,-2.27321853,0.22941258,0.2518883,1.32469696
RT26,0.18580102,-2.14479389,-5.6758065,-2.97947996,0.6013619,-0.1799303,-4.16866588,-2.40667116,-1.3129308,-0.29788743,-1.50251659,0.49072406,-5.4907634,0.1884883,-4.31503182,1.87474272,2.32505428,-2.33367602,0.62321036,0.45346345,1.65046684
RT27,1.97738709,-1.69258935,-4.41917652,-3.44561657,-0.1238168,0.25760009,-3.60518308,-1.91729633,-1.41972586,-0.99136047,-2.08416609,0.68132342,-3.51361429,-0.0751605,-4.8501613,1.47706791,2.15281767,0.49415768,0.51200805,0.17954947,1.21714166
RT28,0.07515964,-2.38497887,-4.76325935,-4.30052503,0.32478489,-0.41760021,-3.94926591,-1.88188954,-1.31664105,-1.06631464,-1.60157035,0.95563627,-4.07260419,0.29931357,-3.24833398,1.69259916,2.1753452,0.23113503,0.3220759,0.14024314,1.23588541
RT29,2.6325041,-4.4047216,-3.6049483,-0.7595862,0.2614236,1.2211736,-3.484102,-3.2625523,-1.8701023,0.5696951,-0.6703167,0.8109558,-3.3983883,1.3153506,-3.3427859,1.2541098,2.9064828,-2.3422593,1.2589841,0.8010574,1.9803049
RT30,0.83952025,-1.82825763,-3.61875144,-2.71418436,0.21535956,1.44162736,-3.21022311,-2.70099135,-0.63481221,-0.27261343,-2.24882191,0.63501282,-4.53232062,-0.30239597,-3.35658904,0.90929696,1.77254106,-1.20338299,0.50758196,0.21947518,1.23261201
RT31,1.33063732,-2.80349686,-2.40918861,-3.73821376,-0.21677731,0.90778525,-2.98148954,-2.47225778,-1.36733597,-1.49613218,-2.30777041,0.69113763,-4.30358705,-0.19075047,-2.14690122,1.16458076,2.02449292,-0.78363766,-0.41838623,-0.01200687,1.242985
RT32,-0.4333428,-1.9661408,-3.9877463,-3.1420197,0.0368455,0.7323726,-4.0900436,-1.6349017,-0.1424671,-0.2276686,-2.0300301,0.5720391,-4.700663,0.6410063,-5.3350218,1.7954964,2.3457445,-2.6297472,0.7483527,0.7462337,2.1176363
RT33,1.17063837,-1.69014597,-3.79649273,-4.99198648,0.18235407,0.62992777,-4.23526226,-2.16788589,-1.52252204,-1.09601523,-2.02109809,-0.09097832,-3.55223776,0.29049268,-2.58981317,1.77958246,2.58514517,-0.96815357,1.28734812,1.01977824,1.70958623
RT34,1.345682156,-2.566890526,-4.657488927,-4.194754605,0.009169401,-0.694199183,-3.843495491,-3.111120184,-1.529563956,-0.367776225,-1.965803557,0.424833138,-3.553159584,-0.628485873,-2.891249137,1.998951314,2.704787663,-0.098963121,0.366786059,0.085486665,1.519337007
RT35,1.000194,-1.4131275,-4.2242721,-4.86015,0.1983084,0.5079837,-4.1034258,-2.1472751,-1.7583534,-1.0551505,-2.2770272,0.7215061,-2.6315401,0.6209648,-3.4024939,2.2320756,2.0205826,-0.8215022,0.3805516,0.2024241,1.2594067
RT39,-0.3054227,-2.7038676,-5.4876132,-4.7371968,0.1862704,-0.8449696,-3.2873254,-3.2480973,-1.6732872,0.2660448,-2.7959278,0.2001433,-5.3025701,0.2278821,-5.2254508,2.0323485,2.7574436,0.9370034,1.2326171,0.5340826,1.7139881
RT5,1.3306893,-2.7500578,-5.1592691,-1.9207015,0.4740832,0.3269559,-2.715166,-3.3044405,-2.2808602,0.7943473,-1.2660802,0.4521191,-3.1299028,0.4775882,-5.4214315,1.792643,2.37975,-0.8767806,1.1485783,0.7043651,1.8556246
RT6,-0.8450554,-4.1934972,-5.2164141,-1.9063875,1.3580694,-1.2003649,-1.5140685,-2.3499845,-2.1313152,-0.2580494,-1.6804172,0.2540775,-3.2368706,0.7314514,-5.4785765,1.8535273,3.0281856,-0.9031539,1.1244902,0.7075521,1.4604174
RT7,0.13664436,-3.15176049,-4.5801425,-2.55797018,0.0869458,0.34718484,-1.86777542,-3.07015435,-1.26588276,-1.22350148,-1.65926562,0.50875524,-5.45833279,0.01993662,-2.50391839,1.84937386,2.17189775,0.95382355,0.49935432,0.46318936,1.65979454
